"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002253","BP","GO:0002253","activation of immune response","3/22","286/12100",0.0144300018399303,0.0144300018399303,0.0932850672530945,"HLA-DRB1/HSP90AA1/TRBC1",3
"GO:0008037","BP","GO:0008037","cell recognition","2/22","114/12100",0.0179744779017291,0.0179744779017291,0.0984575105383834,"PAEP/TRBC1",2
"GO:0002361","BP","GO:0002361","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","1/22","10/12100",0.0180404322742821,0.0180404322742821,0.0984575105383834,"HLA-DRB1",1
"GO:0032070","BP","GO:0032070","regulation of deoxyribonuclease activity","1/22","10/12100",0.0180404322742821,0.0180404322742821,0.0984575105383834,"GZMA",1
"GO:0045793","BP","GO:0045793","positive regulation of cell size","1/22","10/12100",0.0180404322742821,0.0180404322742821,0.0984575105383834,"HSP90AA1",1
"GO:0070561","BP","GO:0070561","vitamin D receptor signaling pathway","1/22","10/12100",0.0180404322742821,0.0180404322742821,0.0984575105383834,"PIM1",1
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation","3/22","312/12100",0.0181876542856634,0.0181876542856634,0.0984575105383834,"MIF/HLA-DRB1/TRBC1",3
"GO:0002697","BP","GO:0002697","regulation of immune effector process","3/22","318/12100",0.0191258156489105,0.0191258156489105,0.0984575105383834,"MIF/HLA-DRB1/KLRB1",3
"GO:0001675","BP","GO:0001675","acrosome assembly","1/22","11/12100",0.0198272900484729,0.0198272900484729,0.0984575105383834,"SPINK2",1
"GO:0030903","BP","GO:0030903","notochord development","1/22","11/12100",0.0198272900484729,0.0198272900484729,0.0984575105383834,"ID3",1
"GO:1901029","BP","GO:1901029","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","1/22","11/12100",0.0198272900484729,0.0198272900484729,0.0984575105383834,"HSPA1A",1
"GO:1905522","BP","GO:1905522","negative regulation of macrophage migration","1/22","11/12100",0.0198272900484729,0.0198272900484729,0.0984575105383834,"MIF",1
"GO:0050852","BP","GO:0050852","T cell receptor signaling pathway","2/22","124/12100",0.0210501498499778,0.0210501498499778,0.0984575105383834,"HLA-DRB1/TRBC1",2
"GO:0009615","BP","GO:0009615","response to virus","3/22","332/12100",0.0214192109586554,0.0214192109586554,0.0984575105383834,"HSPB1/IFITM1/HSP90AA1",3
"GO:0032725","BP","GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production","1/22","12/12100",0.0216110438427435,0.0216110438427435,0.0984575105383834,"PAEP",1
"GO:0071236","BP","GO:0071236","cellular response to antibiotic","1/22","13/12100",0.0233916987927317,0.0233916987927317,0.0984575105383834,"CRIP1",1
"GO:0002076","BP","GO:0002076","osteoblast development","1/22","14/12100",0.0251692600260041,0.0251692600260041,0.0984575105383834,"JUND",1
"GO:2001028","BP","GO:2001028","positive regulation of endothelial cell chemotaxis","1/22","14/12100",0.0251692600260041,0.0251692600260041,0.0984575105383834,"HSPB1",1
"GO:0043433","BP","GO:0043433","negative regulation of DNA-binding transcription factor activity","2/22","147/12100",0.0288869230309264,0.0288869230309264,0.0984575105383834,"PIM1/ID3",2
"GO:0046597","BP","GO:0046597","negative regulation of viral entry into host cell","1/22","17/12100",0.0304834325803379,0.0304834325803379,0.0984575105383834,"IFITM1",1
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","3/22","386/12100",0.031641195879821,0.031641195879821,0.0994824709089526,"IFITM1/HSPA1A/HSPA1B",3
"GO:0070374","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","2/22","158/12100",0.0329901041767594,0.0329901041767594,0.100538602711856,"MIF/HLA-DRB1",2
"GO:0007623","BP","GO:0007623","circadian rhythm","2/22","160/12100",0.0337596845418261,0.0337596845418261,0.101200922702652,"JUND/ID3",2
"GO:0031640","BP","GO:0031640","killing of cells of another organism","1/22","19/12100",0.0340108393428273,0.0340108393428273,0.101200922702652,"GNLY",1
"GO:0060965","BP","GO:0060965","negative regulation of miRNA-mediated gene silencing","1/22","20/12100",0.0357699455041105,0.0357699455041105,0.103979031870248,"NEAT1",1
"GO:0007507","BP","GO:0007507","heart development","3/22","435/12100",0.0428024520580422,0.0428024520580422,0.108921355937176,"CRIP1/PIM1/ID3",3
"GO:0042742","BP","GO:0042742","defense response to bacterium","2/22","183/12100",0.04310626543153,0.04310626543153,0.109326381419423,"GNLY/TRBC1",2
"GO:0045116","BP","GO:0045116","protein neddylation","1/22","25/12100",0.0445197067275382,0.0445197067275382,0.110319756446497,"UBE2F",1
"GO:1904813","CC","GO:1904813","ficolin-1-rich granule lumen","4/22","123/12545",5.61477850084373e-05,5.61477850084373e-05,0.00543746970608025,"MIF/HSPA1A/HSP90AA1/HSPA1B",4
"GO:0071682","CC","GO:0071682","endocytic vesicle lumen","2/22","16/12545",0.000347098656514267,0.000347098656514267,0.0112045882102851,"HSP90AA1/GNLY",2
"GO:0001772","CC","GO:0001772","immunological synapse","2/22","44/12545",0.00265616992823248,0.00265616992823248,0.0514458175573448,"GZMA/HLA-DRB1",2
"GO:0030139","CC","GO:0030139","endocytic vesicle","3/22","282/12545",0.0126146004503743,0.0126146004503743,0.152703058083479,"HLA-DRB1/HSP90AA1/GNLY",3
"GO:0042571","CC","GO:0042571","immunoglobulin complex, circulating","1/22","21/12545",0.0362170746468851,0.0362170746468851,0.189159430889545,"TRBC1",1
"GO:0140416","MF","GO:0140416","transcription regulator inhibitor activity","3/22","17/12386",3.25456206298189e-06,3.25456206298189e-06,7.30849024669618e-05,"DNAJB1/HSPA1A/ID3",3
"GO:0003823","MF","GO:0003823","antigen binding","3/22","73/12386",0.000279098727050165,0.000279098727050165,0.00268606293702415,"HLA-DRB1/TRBC1/KIR2DL3",3
"GO:0023026","MF","GO:0023026","MHC class II protein complex binding","2/22","25/12386",0.000881423638786513,0.000881423638786513,0.00593801188235125,"HLA-DRB1/HSP90AA1",2
"GO:0043021","MF","GO:0043021","ribonucleoprotein complex binding","2/22","148/12386",0.0280182853298787,0.0280182853298787,0.0821908988089477,"PIM1/NEAT1",2
"GO:0003714","MF","GO:0003714","transcription corepressor activity","2/22","166/12386",0.0346047809628975,0.0346047809628975,0.0846937787685168,"DNAJB1/HSPA1A",2
"GO:0140297","MF","GO:0140297","DNA-binding transcription factor binding","3/22","412/12386",0.0352008518006648,0.0352008518006648,0.0846937787685168,"HSPB1/JUND/ID3",3
"GO:0001671","MF","GO:0001671","ATPase activator activity","1/22","25/12386",0.0435125498605605,0.0435125498605605,0.0862168170611726,"DNAJB1",1
