"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","3/15","268/12100",0.00401295566042216,0.00401295566042216,0.0609032866946921,"IGKC/HLA-B/GZMB",3
"GO:0032355","BP","GO:0032355","response to estradiol","2/15","90/12100",0.00539427308958215,0.00539427308958215,0.0687493609675186,"AREG/IGFBP2",2
"GO:0008637","BP","GO:0008637","apoptotic mitochondrial changes","2/15","92/12100",0.00563000494128191,0.00563000494128191,0.0687493609675186,"IFI6/GZMB",2
"GO:0001503","BP","GO:0001503","ossification","3/15","306/12100",0.00581432647354109,0.00581432647354109,0.0687493609675186,"AREG/SPP1/ISG15",3
"GO:0032102","BP","GO:0032102","negative regulation of response to external stimulus","3/15","309/12100",0.0059741801870591,0.0059741801870591,0.0687493609675186,"HLA-B/SPP1/ISG15",3
"GO:0002697","BP","GO:0002697","regulation of immune effector process","3/15","318/12100",0.00646967638254714,0.00646967638254714,0.0687493609675186,"HLA-B/ZNF683/BST2",3
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis","3/15","350/12100",0.0084292971150167,0.0084292971150167,0.070040604834248,"HLA-B/ZNF683/ISG15",3
"GO:0007584","BP","GO:0007584","response to nutrient","2/15","115/12100",0.0086725166297543,0.0086725166297543,0.070040604834248,"SPP1/IGFBP2",2
"GO:0010469","BP","GO:0010469","regulation of signaling receptor activity","2/15","116/12100",0.00881836530744448,0.00881836530744448,0.070040604834248,"AREG/LY6E",2
"GO:0031214","BP","GO:0031214","biomineral tissue development","2/15","116/12100",0.00881836530744448,0.00881836530744448,0.070040604834248,"SPP1/ISG15",2
"GO:0070585","BP","GO:0070585","protein localization to mitochondrion","2/15","116/12100",0.00881836530744448,0.00881836530744448,0.070040604834248,"ISG15/GZMB",2
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","3/15","363/12100",0.00931577328797159,0.00931577328797159,0.0713090968761457,"HLA-B/BST2/ISG15",3
"GO:0001865","BP","GO:0001865","NK T cell differentiation","1/15","10/12100",0.0123323287553939,0.0123323287553939,0.074092408787945,"ZNF683",1
"GO:0045741","BP","GO:0045741","positive regulation of epidermal growth factor-activated receptor activity","1/15","10/12100",0.0123323287553939,0.0123323287553939,0.074092408787945,"AREG",1
"GO:0030308","BP","GO:0030308","negative regulation of cell growth","2/15","144/12100",0.0133428731122264,0.0133428731122264,0.074092408787945,"SPP1/BST2",2
"GO:0070665","BP","GO:0070665","positive regulation of leukocyte proliferation","2/15","145/12100",0.0135198356865118,0.0135198356865118,0.074092408787945,"BST2/IGFBP2",2
"GO:0048681","BP","GO:0048681","negative regulation of axon regeneration","1/15","11/12100",0.0135577228884519,0.0135577228884519,0.074092408787945,"SPP1",1
"GO:1901030","BP","GO:1901030","positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","1/15","11/12100",0.0135577228884519,0.0135577228884519,0.074092408787945,"GZMB",1
"GO:0002664","BP","GO:0002664","regulation of T cell tolerance induction","1/15","12/12100",0.0147816979200237,0.0147816979200237,0.074092408787945,"HLA-B",1
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","2/15","152/12100",0.0147874191767636,0.0147874191767636,0.074092408787945,"BST2/IFI6",2
"GO:0060560","BP","GO:0060560","developmental growth involved in morphogenesis","2/15","164/12100",0.0170759960715076,0.0170759960715076,0.074092408787945,"AREG/SPP1",2
"GO:0002730","BP","GO:0002730","regulation of dendritic cell cytokine production","1/15","14/12100",0.017225396781867,0.017225396781867,0.074092408787945,"BST2",1
"GO:0051249","BP","GO:0051249","regulation of lymphocyte activation","3/15","458/12100",0.0174571212372107,0.0174571212372107,0.074092408787945,"IGKC/ZNF683/IGFBP2",3
"GO:0051900","BP","GO:0051900","regulation of mitochondrial depolarization","1/15","15/12100",0.0184451236599302,0.0184451236599302,0.074092408787945,"IFI6",1
"GO:0010226","BP","GO:0010226","response to lithium ion","1/15","16/12100",0.0196634375320944,0.0196634375320944,0.074092408787945,"IGFBP2",1
"GO:0042110","BP","GO:0042110","T cell activation","3/15","481/12100",0.0198824585220295,0.0198824585220295,0.074092408787945,"ZNF683/CD7/IGFBP2",3
"GO:0009617","BP","GO:0009617","response to bacterium","3/15","484/12100",0.020212140706318,0.020212140706318,0.074092408787945,"IGKC/HLA-B/ISG15",3
"GO:0046597","BP","GO:0046597","negative regulation of viral entry into host cell","1/15","17/12100",0.0208803399184744,0.0208803399184744,0.074092408787945,"LY6E",1
"GO:0060339","BP","GO:0060339","negative regulation of type I interferon-mediated signaling pathway","1/15","17/12100",0.0208803399184744,0.0208803399184744,0.074092408787945,"ISG15",1
"GO:0042742","BP","GO:0042742","defense response to bacterium","2/15","183/12100",0.0209891296581513,0.0209891296581513,0.074092408787945,"IGKC/ISG15",2
"GO:0001894","BP","GO:0001894","tissue homeostasis","2/15","207/12100",0.0264170421071575,0.0264170421071575,0.0809829915011661,"IGKC/SPP1",2
"GO:0042113","BP","GO:0042113","B cell activation","2/15","252/12100",0.0379502837443692,0.0379502837443692,0.0902219420202691,"IGKC/BST2",2
"GO:0006910","BP","GO:0006910","phagocytosis, recognition","1/15","35/12100",0.0425449427285784,0.0425449427285784,0.0910942586704842,"IGKC",1
"GO:1902105","BP","GO:1902105","regulation of leukocyte differentiation","2/15","276/12100",0.0447687759786819,0.0447687759786819,0.0910942586704842,"HLA-B/ZNF683",2
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","2/15","279/12100",0.0456517032674977,0.0456517032674977,0.0910942586704842,"IGKC/HLA-B",2
"GO:0012507","CC","GO:0012507","ER to Golgi transport vesicle membrane","2/15","57/12545",0.00205044233208253,0.00205044233208253,0.0294975914439943,"HLA-B/AREG",2
"GO:0005689","CC","GO:0005689","U12-type spliceosomal complex","1/15","26/12545",0.0306579527479017,0.0306579527479017,0.0806071516177887,"SNRNP25",1
"GO:0030545","MF","GO:0030545","signaling receptor regulator activity","3/15","286/12386",0.00451135802609691,0.00451135802609691,0.0608105285813836,"AREG/LY6E/SPP1",3
"GO:0005198","MF","GO:0005198","structural molecule activity","3/15","482/12386",0.0187938249736614,0.0187938249736614,0.0615470291535111,"ISG15/KRT81/KRT86",3
