"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034599","BP","GO:0034599","cellular response to oxidative stress","3/15","238/12100",0.00287015845219961,0.00287015845219961,0.0785517050075682,"HSPB1/HSPA1B/RHOB",3
"GO:0060249","BP","GO:0060249","anatomical structure homeostasis","3/15","246/12100",0.00315184437190032,0.00315184437190032,0.0830661518676263,"HSPB1/BAG3/LYZ",3
"GO:0032436","BP","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","2/15","83/12100",0.00460644249564681,0.00460644249564681,0.101702867701347,"HSPA1B/ZFAND2A",2
"GO:0006090","BP","GO:0006090","pyruvate metabolic process","2/15","86/12100",0.00493696009693724,0.00493696009693724,0.101702867701347,"DDIT4/SDS",2
"GO:0010595","BP","GO:0010595","positive regulation of endothelial cell migration","2/15","90/12100",0.00539427308958215,0.00539427308958215,0.101702867701347,"HSPB1/RHOB",2
"GO:0045639","BP","GO:0045639","positive regulation of myeloid cell differentiation","2/15","90/12100",0.00539427308958215,0.00539427308958215,0.101702867701347,"HLA-DRB1/HSPA1B",2
"GO:0048469","BP","GO:0048469","cell maturation","2/15","118/12100",0.00911338605221894,0.00911338605221894,0.101702867701347,"PAEP/HES1",2
"GO:0051090","BP","GO:0051090","regulation of DNA-binding transcription factor activity","3/15","361/12100",0.00917593357095969,0.00917593357095969,0.101702867701347,"HSPA1B/ID3/HES1",3
"GO:0031331","BP","GO:0031331","positive regulation of cellular catabolic process","3/15","371/12100",0.00988780731487401,0.00988780731487401,0.101702867701347,"HSPA1B/ZFAND2A/BAG3",3
"GO:0002361","BP","GO:0002361","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","1/15","10/12100",0.0123323287553939,0.0123323287553939,0.101702867701347,"HLA-DRB1",1
"GO:0006563","BP","GO:0006563","L-serine metabolic process","1/15","10/12100",0.0123323287553939,0.0123323287553939,0.101702867701347,"SDS",1
"GO:0060019","BP","GO:0060019","radial glial cell differentiation","1/15","10/12100",0.0123323287553939,0.0123323287553939,0.101702867701347,"HES1",1
"GO:0090084","BP","GO:0090084","negative regulation of inclusion body assembly","1/15","10/12100",0.0123323287553939,0.0123323287553939,0.101702867701347,"HSPA1B",1
"GO:0097201","BP","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","1/15","10/12100",0.0123323287553939,0.0123323287553939,0.101702867701347,"BAG3",1
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","3/15","408/12100",0.0128014082855883,0.0128014082855883,0.101702867701347,"HSPB1/PAEP/HSPA1B",3
"GO:0030903","BP","GO:0030903","notochord development","1/15","11/12100",0.0135577228884519,0.0135577228884519,0.101702867701347,"ID3",1
"GO:0010970","BP","GO:0010970","transport along microtubule","2/15","148/12100",0.0140569243422159,0.0140569243422159,0.101702867701347,"HSPB1/BAG3",2
"GO:0031400","BP","GO:0031400","negative regulation of protein modification process","3/15","425/12100",0.0142905113925777,0.0142905113925777,0.101702867701347,"HSPB1/HSPA1B/DDIT4",3
"GO:0071407","BP","GO:0071407","cellular response to organic cyclic compound","3/15","427/12100",0.0144720155070024,0.0144720155070024,0.101702867701347,"HSPA1B/ID3/DDIT4",3
"GO:0003413","BP","GO:0003413","chondrocyte differentiation involved in endochondral bone morphogenesis","1/15","12/12100",0.0147816979200237,0.0147816979200237,0.101702867701347,"SERPINH1",1
"GO:0032725","BP","GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production","1/15","12/12100",0.0147816979200237,0.0147816979200237,0.101702867701347,"PAEP",1
"GO:0045820","BP","GO:0045820","negative regulation of glycolytic process","1/15","12/12100",0.0147816979200237,0.0147816979200237,0.101702867701347,"DDIT4",1
"GO:0046034","BP","GO:0046034","ATP metabolic process","2/15","155/12100",0.0153459866886296,0.0153459866886296,0.101702867701347,"HSPA1B/DDIT4",2
"GO:0042129","BP","GO:0042129","regulation of T cell proliferation","2/15","159/12100",0.0161048796476308,0.0161048796476308,0.101702867701347,"HLA-DRB1/HES1",2
"GO:2001028","BP","GO:2001028","positive regulation of endothelial cell chemotaxis","1/15","14/12100",0.017225396781867,0.017225396781867,0.101702867701347,"HSPB1",1
"GO:0045596","BP","GO:0045596","negative regulation of cell differentiation","3/15","468/12100",0.0184894373058453,0.0184894373058453,0.101702867701347,"PAEP/ID3/HES1",3
"GO:0003159","BP","GO:0003159","morphogenesis of an endothelium","1/15","16/12100",0.0196634375320944,0.0196634375320944,0.101702867701347,"RHOB",1
"GO:0048514","BP","GO:0048514","blood vessel morphogenesis","3/15","485/12100",0.0203227207421908,0.0203227207421908,0.101702867701347,"HSPB1/RHOB/HES1",3
"GO:0010942","BP","GO:0010942","positive regulation of cell death","3/15","486/12100",0.0204336439479357,0.0204336439479357,0.101702867701347,"ID3/DDIT4/RHOB",3
"GO:0071356","BP","GO:0071356","cellular response to tumor necrosis factor","2/15","185/12100",0.0214211358690637,0.0214211358690637,0.101702867701347,"HSPA1B/HES1",2
"GO:0019835","BP","GO:0019835","cytolysis","1/15","18/12100",0.0220958323376766,0.0220958323376766,0.101702867701347,"LYZ",1
"GO:2001234","BP","GO:2001234","negative regulation of apoptotic signaling pathway","2/15","193/12100",0.0231865357687651,0.0231865357687651,0.102527234897585,"HSPB1/HSPA1B",2
"GO:0071243","BP","GO:0071243","cellular response to arsenic-containing substance","1/15","20/12100",0.0245225933414318,0.0245225933414318,0.102527234897585,"ZFAND2A",1
"GO:0007163","BP","GO:0007163","establishment or maintenance of cell polarity","2/15","199/12100",0.0245493119795659,0.0245493119795659,0.102527234897585,"RHOB/HES1",2
"GO:0043122","BP","GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","2/15","234/12100",0.0331338758133584,0.0331338758133584,0.103249328421003,"HSPB1/HLA-DRB1",2
"GO:0051222","BP","GO:0051222","positive regulation of protein transport","2/15","246/12100",0.0363157311159067,0.0363157311159067,0.103249328421003,"HLA-DRB1/BAG3",2
"GO:0050832","BP","GO:0050832","defense response to fungus","1/15","31/12100",0.0377696150007022,0.0377696150007022,0.103249328421003,"GNLY",1
"GO:0097193","BP","GO:0097193","intrinsic apoptotic signaling pathway","2/15","263/12100",0.0410205973375798,0.0410205973375798,0.103249328421003,"HSPB1/DDIT4",2
"GO:0071214","BP","GO:0071214","cellular response to abiotic stimulus","2/15","268/12100",0.0424470865807013,0.0424470865807013,0.103324524104613,"BAG3/RHOB",2
"GO:0006605","BP","GO:0006605","protein targeting","2/15","282/12100",0.0465412516937435,0.0465412516937435,0.105807587506207,"ZFAND2A/BAG3",2
"GO:0000502","CC","GO:0000502","proteasome complex","2/15","57/12545",0.00205044233208253,0.00205044233208253,0.0464090165282004,"HSPB1/ZFAND2A",2
"GO:0031902","CC","GO:0031902","late endosome membrane","2/15","133/12545",0.0107017710090557,0.0107017710090557,0.0526759926067962,"HLA-DRB1/RHOB",2
"GO:0034774","CC","GO:0034774","secretory granule lumen","2/15","269/12545",0.0400251594919979,0.0400251594919979,0.0910321772520928,"HSPA6/LYZ",2
"GO:0030139","CC","GO:0030139","endocytic vesicle","2/15","282/12545",0.0436045465583527,0.0436045465583527,0.0933290294757724,"GNLY/HLA-DRB1",2
"GO:0051082","MF","GO:0051082","unfolded protein binding","4/15","100/12386",5.09984930584117e-06,5.09984930584117e-06,0.000230835284369653,"HSPB1/HSPA1B/SERPINH1/HSPA6",4
"GO:0051087","MF","GO:0051087","chaperone binding","2/15","87/12386",0.00482577336849398,0.00482577336849398,0.0436859483884718,"BAG3/HES1",2
"GO:0140297","MF","GO:0140297","DNA-binding transcription factor binding","3/15","412/12386",0.0123404565563223,0.0123404565563223,0.0499646255523274,"HSPB1/ID3/HES1",3
"GO:0004857","MF","GO:0004857","enzyme inhibitor activity","2/15","261/12386",0.0387731458546396,0.0387731458546396,0.0657982925957855,"HSPB1/SERPINH1",2
"GO:0061629","MF","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","2/15","300/12386",0.049883297402858,0.049883297402858,0.07055861145799,"HSPB1/HES1",2
