"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044403","BP","GO:0044403","biological process involved in symbiotic interaction","4/13","243/12100",9.83796041319799e-05,9.83796041319799e-05,0.000664111452959823,"CCL3/CCL4/CXCL8/IFI27",4
"GO:0009617","BP","GO:0009617","response to bacterium","5/13","484/12100",9.88598957753583e-05,9.88598957753583e-05,0.000664111452959823,"IGKC/CCL3/CXCL8/CCL2/CCL20",5
"GO:0019079","BP","GO:0019079","viral genome replication","3/13","116/12100",0.000228929195609885,0.000228929195609885,0.00143361548009045,"CXCL8/CCL2/IFI27",3
"GO:0006775","BP","GO:0006775","fat-soluble vitamin metabolic process","2/13","22/12100",0.000243184442883061,0.000243184442883061,0.00147295495171621,"PLTP/LGMN",2
"GO:0019886","BP","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","2/13","27/12100",0.000368395802101042,0.000368395802101042,0.00216051673412641,"HLA-DQA2/LGMN",2
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","4/13","352/12100",0.000408744180705591,0.000408744180705591,0.00235969091163918,"HLA-DQA2/IGKC/CCL3/CCL2",4
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process","3/13","151/12100",0.000497093995071401,0.000497093995071401,0.00268847566622533,"CCL3/LGMN/CCL2",3
"GO:0006959","BP","GO:0006959","humoral immune response","3/13","154/12100",0.000526536970176296,0.000526536970176296,0.00270196603116784,"IGKC/CXCL8/CCL2",3
"GO:0071222","BP","GO:0071222","cellular response to lipopolysaccharide","3/13","170/12100",0.000702574252091241,0.000702574252091241,0.00341556180725797,"CCL3/CXCL8/CCL2",3
"GO:0036230","BP","GO:0036230","granulocyte activation","2/13","42/12100",0.00089549367493416,0.00089549367493416,0.00413576684081434,"CCL3/CXCL8",2
"GO:0007566","BP","GO:0007566","embryo implantation","2/13","43/12100",0.000938607326943951,0.000938607326943951,0.00428136675448118,"SPP1/TIMP1",2
"GO:0071396","BP","GO:0071396","cellular response to lipid","4/13","464/12100",0.00115792315747838,0.00115792315747838,0.00490783868626599,"CCL3/SPP1/CXCL8/CCL2",4
"GO:0042063","BP","GO:0042063","gliogenesis","3/13","228/12100",0.00164218550969215,0.00164218550969215,0.00653499877682775,"CCL3/EGR2/CCL2",3
"GO:0006611","BP","GO:0006611","protein export from nucleus","2/13","57/12100",0.00164492063228699,0.00164492063228699,0.00653499877682775,"EGR2/IFI27",2
"GO:0032370","BP","GO:0032370","positive regulation of lipid transport","2/13","65/12100",0.00213339134496783,0.00213339134496783,0.00812610268132076,"PLTP/SPP1",2
"GO:0044344","BP","GO:0044344","cellular response to fibroblast growth factor stimulus","2/13","73/12100",0.00268242720964154,0.00268242720964154,0.00991086263772822,"CXCL8/CCL2",2
"GO:0048640","BP","GO:0048640","negative regulation of developmental growth","2/13","77/12100",0.00297937178056468,0.00297937178056468,0.0104838044609344,"SPP1/LGMN",2
"GO:0050804","BP","GO:0050804","modulation of chemical synaptic transmission","3/13","285/12100",0.00310355425424319,0.00310355425424319,0.0107166506959111,"EGR2/LGMN/CCL2",3
"GO:0030278","BP","GO:0030278","regulation of ossification","2/13","87/12100",0.00378623754881697,0.00378623754881697,0.012516288816827,"CCL3/EGR2",2
"GO:0001503","BP","GO:0001503","ossification","3/13","306/12100",0.00379411148179598,0.00379411148179598,0.012516288816827,"CCL3/SPP1/EGR2",3
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation","3/13","312/12100",0.00400741626005394,0.00400741626005394,0.0129880249979587,"HLA-DQA2/IGKC/CCL2",3
"GO:0043524","BP","GO:0043524","negative regulation of neuron apoptotic process","2/13","100/12100",0.00497057552321524,0.00497057552321524,0.0155635326373644,"LGMN/CCL2",2
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity","3/13","349/12100",0.00548632317214206,0.00548632317214206,0.0168921002931742,"HLA-DQA2/IGKC/CCL3",3
"GO:0031214","BP","GO:0031214","biomineral tissue development","2/13","116/12100",0.00663316352926841,0.00663316352926841,0.0200883554682762,"CCL3/SPP1",2
"GO:1901652","BP","GO:1901652","response to peptide","3/13","392/12100",0.00757523800129275,0.00757523800129275,0.0223908087448737,"EGR2/LGMN/TIMP1",3
"GO:0007610","BP","GO:0007610","behavior","3/13","397/12100",0.00784500138447531,0.00784500138447531,0.0229946886553196,"CCL3/EGR2/LGMN",3
"GO:0048167","BP","GO:0048167","regulation of synaptic plasticity","2/13","127/12100",0.00790401477568179,0.00790401477568179,0.0229946886553196,"EGR2/LGMN",2
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response","2/13","135/12100",0.00889220662936348,0.00889220662936348,0.0249745463801256,"HLA-DQA2/IGKC",2
"GO:0071407","BP","GO:0071407","cellular response to organic cyclic compound","3/13","427/12100",0.00958477898360573,0.00958477898360573,0.0260391441427679,"CCL3/SPP1/CCL2",3
"GO:0050930","BP","GO:0050930","induction of positive chemotaxis","1/13","10/12100",0.0106959662426441,0.0106959662426441,0.0278301271398672,"CXCL8",1
"GO:0097709","BP","GO:0097709","connective tissue replacement","1/13","10/12100",0.0106959662426441,0.0106959662426441,0.0278301271398672,"TIMP1",1
"GO:0034350","BP","GO:0034350","regulation of glial cell apoptotic process","1/13","11/12100",0.0117597340208773,0.0117597340208773,0.0282137159352558,"CCL2",1
"GO:0034375","BP","GO:0034375","high-density lipoprotein particle remodeling","1/13","11/12100",0.0117597340208773,0.0117597340208773,0.0282137159352558,"PLTP",1
"GO:0048532","BP","GO:0048532","anatomical structure arrangement","1/13","11/12100",0.0117597340208773,0.0117597340208773,0.0282137159352558,"EGR2",1
"GO:0048681","BP","GO:0048681","negative regulation of axon regeneration","1/13","11/12100",0.0117597340208773,0.0117597340208773,0.0282137159352558,"SPP1",1
"GO:0030502","BP","GO:0030502","negative regulation of bone mineralization","1/13","12/12100",0.0128224458628603,0.0128224458628603,0.0292441747749445,"CCL3",1
"GO:0040015","BP","GO:0040015","negative regulation of multicellular organism growth","1/13","12/12100",0.0128224458628603,0.0128224458628603,0.0292441747749445,"LGMN",1
"GO:0002399","BP","GO:0002399","MHC class II protein complex assembly","1/13","14/12100",0.0149447055808576,0.0149447055808576,0.0315524310308632,"HLA-DQA2",1
"GO:0042742","BP","GO:0042742","defense response to bacterium","2/13","183/12100",0.0159032030171704,0.0159032030171704,0.0323123016225111,"IGKC/CCL20",2
"GO:0035584","BP","GO:0035584","calcium-mediated signaling using intracellular calcium source","1/13","16/12100",0.0170627530742594,0.0170627530742594,0.0326863063390549,"CCL20",1
"GO:0001894","BP","GO:0001894","tissue homeostasis","2/13","207/12100",0.0200677812692718,0.0200677812692718,0.0335514789654055,"IGKC/SPP1",2
"GO:0044827","BP","GO:0044827","modulation by host of viral genome replication","1/13","19/12100",0.0202319431567971,0.0202319431567971,0.0335514789654055,"IFI27",1
"GO:0006909","BP","GO:0006909","phagocytosis","2/13","219/12100",0.0223055685868244,0.0223055685868244,0.0357309740344007,"IGKC/CCL2",2
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation","2/13","227/12100",0.0238532733734705,0.0238532733734705,0.0368611959687534,"HLA-DQA2/CCL2",2
"GO:0030336","BP","GO:0030336","negative regulation of cell migration","2/13","234/12100",0.0252434732111067,0.0252434732111067,0.0376759319684237,"CCL2/TIMP1",2
"GO:0050767","BP","GO:0050767","regulation of neurogenesis","2/13","262/12100",0.0311297926062193,0.0311297926062193,0.0422854380990053,"SPP1/EGR2",2
"GO:0006910","BP","GO:0006910","phagocytosis, recognition","1/13","35/12100",0.0369755798565339,0.0369755798565339,0.0461537287682909,"IGKC",1
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","2/13","294/12100",0.038464722182469,0.038464722182469,0.0470586179367257,"LGMN/TIMP1",2
"GO:0032102","BP","GO:0032102","negative regulation of response to external stimulus","2/13","309/12100",0.0421140954239747,0.0421140954239747,0.0491313131163232,"SPP1/CCL2",2
"GO:0043434","BP","GO:0043434","response to peptide hormone","2/13","320/12100",0.0448722874273193,0.0448722874273193,0.0500537049213681,"EGR2/TIMP1",2
"GO:0009615","BP","GO:0009615","response to virus","2/13","332/12100",0.0479580806550435,0.0479580806550435,0.0515094440328038,"CCL4/IFI27",2
"GO:0005125","MF","GO:0005125","cytokine activity","7/13","143/12386",3.82082259587778e-11,3.82082259587778e-11,1.32723311225228e-09,"CCL3/CCL4/SPP1/CXCL8/CCL2/CCL20/TIMP1",7
