"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001906","BP","GO:0001906","cell killing","4/25","141/12100",0.000184780959462712,0.000184780959462712,0.00322626709542447,"GNLY/HSP90AB1/IFNG/XCL1",4
"GO:0010968","BP","GO:0010968","regulation of microtubule nucleation","2/25","11/12100",0.000222855800825789,0.000222855800825789,0.00365282440451293,"HSPA1B/HSPA1A",2
"GO:0031334","BP","GO:0031334","positive regulation of protein-containing complex assembly","4/25","164/12100",0.000329524352202945,0.000329524352202945,0.00464315938561121,"HSPA1B/HSPA1A/HSP90AA1/IFNG",4
"GO:0051701","BP","GO:0051701","biological process involved in interaction with host","4/25","164/12100",0.000329524352202945,0.000329524352202945,0.00464315938561121,"HSPA1B/HSPA1A/IFITM1/HSP90AB1",4
"GO:0046635","BP","GO:0046635","positive regulation of alpha-beta T cell activation","3/25","68/12100",0.000357362516730673,0.000357362516730673,0.00486472078975028,"HSPH1/IFNG/XCL1",3
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation","5/25","312/12100",0.000383591766756887,0.000383591766756887,0.00505056976765323,"MIF/HSPH1/HSPD1/IFNG/XCL1",5
"GO:0032273","BP","GO:0032273","positive regulation of protein polymerization","3/25","74/12100",0.000458477665359603,0.000458477665359603,0.00584491994435049,"HSPA1B/HSPA1A/HSP90AA1",3
"GO:0031397","BP","GO:0031397","negative regulation of protein ubiquitination","3/25","76/12100",0.000495854666172022,0.000495854666172022,0.00622264984028377,"HSPA1B/HSPA1A/DNAJA1",3
"GO:0009615","BP","GO:0009615","response to virus","5/25","332/12100",0.000509972449732535,0.000509972449732535,0.00630135998616882,"HSPB1/HSP90AA1/IFITM1/IFNG/XCL1",5
"GO:0071356","BP","GO:0071356","cellular response to tumor necrosis factor","4/25","185/12100",0.000520395139537483,0.000520395139537483,0.0063327191621547,"HSPA1B/HSPA1A/CCL3L3/XCL1",4
"GO:0032436","BP","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","3/25","83/12100",0.000641924352660476,0.000641924352660476,0.00752955695437461,"HSPA1B/HSPA1A/ZFAND2A",3
"GO:0097191","BP","GO:0097191","extrinsic apoptotic signaling pathway","4/25","196/12100",0.000646876090648728,0.000646876090648728,0.00752955695437461,"HSPA1B/HSPA1A/DEDD2/IFNG",4
"GO:0031640","BP","GO:0031640","killing of cells of another organism","2/25","19/12100",0.000685893097002201,0.000685893097002201,0.00754630761373726,"GNLY/IFNG",2
"GO:0042116","BP","GO:0042116","macrophage activation","3/25","88/12100",0.000761465028242089,0.000761465028242089,0.00804706117103482,"MIF/HSPD1/IFNG",3
"GO:0031341","BP","GO:0031341","regulation of cell killing","3/25","89/12100",0.000786955380490921,0.000786955380490921,0.00820843411229764,"HSP90AB1/IFNG/XCL1",3
"GO:0045639","BP","GO:0045639","positive regulation of myeloid cell differentiation","3/25","90/12100",0.00081298395501303,0.00081298395501303,0.00837121130465509,"HSPA1B/HSPA1A/IFNG",3
"GO:0032760","BP","GO:0032760","positive regulation of tumor necrosis factor production","3/25","91/12100",0.000839555325105565,0.000839555325105565,0.00853538591679608,"HSPB1/MIF/IFNG",3
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","5/25","373/12100",0.000865076159658183,0.000865076159658183,0.00860593462204121,"HSPB1/HSP90AA1/MIF/IFNG/XCL1",5
"GO:0030522","BP","GO:0030522","intracellular receptor signaling pathway","4/25","212/12100",0.000867924861292361,0.000867924861292361,0.00860593462204121,"HSPA1B/HSPA1A/DNAJA1/NR4A1",4
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","4/25","220/12100",0.000996424514889015,0.000996424514889015,0.00921509743261434,"MIF/HSPD1/IFNG/XCL1",4
"GO:0035767","BP","GO:0035767","endothelial cell chemotaxis","2/25","23/12100",0.00100967515775434,0.00100967515775434,0.00921509743261434,"HSPB1/NR4A1",2
"GO:0071346","BP","GO:0071346","cellular response to interferon-gamma","3/25","98/12100",0.00104113087233282,0.00104113087233282,0.00939542111874563,"CCL3L3/IFNG/XCL1",3
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation","4/25","227/12100",0.00111942197366956,0.00111942197366956,0.00987991863400661,"HSPH1/HSPD1/IFNG/XCL1",4
"GO:0031400","BP","GO:0031400","negative regulation of protein modification process","5/25","425/12100",0.00155026254248966,0.00155026254248966,0.0122935376452722,"HSPB1/HSPA1B/HSPA1A/DNAJA1/IFNG",5
"GO:0072655","BP","GO:0072655","establishment of protein localization to mitochondrion","3/25","113/12100",0.00157032329728824,0.00157032329728824,0.0122935376452722,"HSP90AA1/DNAJA1/HSPD1",3
"GO:0043065","BP","GO:0043065","positive regulation of apoptotic process","5/25","428/12100",0.00159931476116913,0.00159931476116913,0.0122935376452722,"DNAJA1/HSPD1/DEDD2/NR4A1/IFNG",5
"GO:0003009","BP","GO:0003009","skeletal muscle contraction","2/25","29/12100",0.00160801483444888,0.00160801483444888,0.0122935376452722,"HSP90AA1/NR4A1",2
"GO:0046718","BP","GO:0046718","viral entry into host cell","3/25","118/12100",0.00177803715744714,0.00177803715744714,0.0128003208399697,"HSPA1B/HSPA1A/IFITM1",3
"GO:0010922","BP","GO:0010922","positive regulation of phosphatase activity","2/25","31/12100",0.00183703893475968,0.00183703893475968,0.0128003208399697,"HSP90AB1/IFNG",2
"GO:0071353","BP","GO:0071353","cellular response to interleukin-4","2/25","31/12100",0.00183703893475968,0.00183703893475968,0.0128003208399697,"HSP90AB1/XCL1",2
"GO:2001236","BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway","3/25","132/12100",0.00244868516642081,0.00244868516642081,0.0154856757727234,"HSPA1B/HSPA1A/DEDD2",3
"GO:0062197","BP","GO:0062197","cellular response to chemical stress","4/25","289/12100",0.00271316200948769,0.00271316200948769,0.0166250997431167,"HSPB1/HSPA1B/HSPA1A/DNAJA1",4
"GO:0032733","BP","GO:0032733","positive regulation of interleukin-10 production","2/25","38/12100",0.00275281686159483,0.00275281686159483,0.0166250997431167,"HSPD1/XCL1",2
"GO:0032735","BP","GO:0032735","positive regulation of interleukin-12 production","2/25","39/12100",0.00289795316623135,0.00289795316623135,0.0166250997431167,"HSPD1/IFNG",2
"GO:0009409","BP","GO:0009409","response to cold","2/25","42/12100",0.00335451790927708,0.00335451790927708,0.0184534763141919,"HSP90AA1/HSPD1",2
"GO:2000516","BP","GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","2/25","43/12100",0.00351371144484193,0.00351371144484193,0.0187016246870198,"IFNG/XCL1",2
"GO:0002833","BP","GO:0002833","positive regulation of response to biotic stimulus","3/25","150/12100",0.0035160525050498,0.0035160525050498,0.0187016246870198,"HSP90AA1/MIF/HSPD1",3
"GO:0046677","BP","GO:0046677","response to antibiotic","2/25","44/12100",0.00367638439377192,0.00367638439377192,0.0191734879866574,"CRIP1/HSP90AA1",2
"GO:0071900","BP","GO:0071900","regulation of protein serine/threonine kinase activity","4/25","316/12100",0.00374179743295822,0.00374179743295822,0.0193887364437835,"MIF/HSP90AB1/DNAJA1/IFNG",4
"GO:0002221","BP","GO:0002221","pattern recognition receptor signaling pathway","3/25","157/12100",0.00399705856159813,0.00399705856159813,0.0201397516864685,"HSPA1B/HSPA1A/HSPD1",3
"GO:0070374","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","3/25","158/12100",0.0040688881937237,0.0040688881937237,0.0202978861837933,"MIF/CCL3L3/XCL1",3
"GO:0048247","BP","GO:0048247","lymphocyte chemotaxis","2/25","48/12100",0.00436159329416269,0.00436159329416269,0.021372336140986,"CCL3L3/XCL1",2
"GO:0043030","BP","GO:0043030","regulation of macrophage activation","2/25","49/12100",0.0045414558745354,0.0045414558745354,0.0215828765635036,"MIF/HSPD1",2
"GO:0006839","BP","GO:0006839","mitochondrial transport","3/25","168/12100",0.00483089830338572,0.00483089830338572,0.0226700894059447,"HSPA1A/HSP90AA1/HSPD1",3
"GO:0043281","BP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","3/25","171/12100",0.0050752339252999,0.0050752339252999,0.0232795740132419,"HSPE1/HSPD1/NR4A1",3
"GO:0006469","BP","GO:0006469","negative regulation of protein kinase activity","3/25","174/12100",0.00532694948367429,0.00532694948367429,0.0239015728082534,"HSPB1/DNAJA1/IFNG",3
"GO:0032731","BP","GO:0032731","positive regulation of interleukin-1 beta production","2/25","54/12100",0.00549144695503504,0.00549144695503504,0.0243673976545027,"HSPB1/IFNG",2
"GO:0050920","BP","GO:0050920","regulation of chemotaxis","3/25","178/12100",0.00567416026306755,0.00567416026306755,0.0247089823844155,"HSPB1/MIF/XCL1",3
"GO:0071902","BP","GO:0071902","positive regulation of protein serine/threonine kinase activity","3/25","181/12100",0.00594334093333638,0.00594334093333638,0.0249918387001138,"MIF/HSP90AB1/IFNG",3
"GO:0031331","BP","GO:0031331","positive regulation of cellular catabolic process","4/25","371/12100",0.00660381333536234,0.00660381333536234,0.0263875861475856,"HSPA1B/HSPA1A/ZFAND2A/IFNG",4
"GO:0010657","BP","GO:0010657","muscle cell apoptotic process","2/25","61/12100",0.00696087309749167,0.00696087309749167,0.0272321538118248,"HSP90AA1/IFNG",2
"GO:0032722","BP","GO:0032722","positive regulation of chemokine production","2/25","61/12100",0.00696087309749167,0.00696087309749167,0.0272321538118248,"MIF/IFNG",2
"GO:0016049","BP","GO:0016049","cell growth","4/25","377/12100",0.00698470838921902,0.00698470838921902,0.0272321538118248,"HSPA1B/HSPA1A/HSP90AA1/HSP90AB1",4
"GO:0043270","BP","GO:0043270","positive regulation of ion transport","3/25","202/12100",0.00804313157097161,0.00804313157097161,0.0294671319924466,"MIF/IFNG/XCL1",3
"GO:0051223","BP","GO:0051223","regulation of protein transport","4/25","393/12100",0.00807159972008039,0.00807159972008039,0.0294671319924466,"HSP90AA1/HSP90AB1/DNAJA1/IFNG",4
"GO:0006919","BP","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","2/25","67/12100",0.00834673842019633,0.00834673842019633,0.0303337052374842,"HSPE1/HSPD1",2
"GO:0002440","BP","GO:0002440","production of molecular mediator of immune response","3/25","208/12100",0.00871391916685857,0.00871391916685857,0.0311051243242718,"MIF/HSPD1/XCL1",3
"GO:0071560","BP","GO:0071560","cellular response to transforming growth factor beta stimulus","3/25","217/12100",0.00978055055759154,0.00978055055759154,0.0333674840357281,"HSPA1A/HSP90AB1/XCL1",3
"GO:0002720","BP","GO:0002720","positive regulation of cytokine production involved in immune response","2/25","76/12100",0.0106377519787837,0.0106377519787837,0.0348726305469903,"MIF/XCL1",2
"GO:0071407","BP","GO:0071407","cellular response to organic cyclic compound","4/25","427/12100",0.0107416256224637,0.0107416256224637,0.0350700057763791,"HSPA1B/HSPA1A/HSP90AB1/DNAJA1",4
"GO:0034599","BP","GO:0034599","cellular response to oxidative stress","3/25","238/12100",0.0125569964885336,0.0125569964885336,0.0391942438637001,"HSPB1/HSPA1B/HSPA1A",3
"GO:0050778","BP","GO:0050778","positive regulation of immune response","4/25","458/12100",0.0136298058014404,0.0136298058014404,0.0415898542319939,"HSP90AA1/HSPD1/IFNG/XCL1",4
"GO:0051607","BP","GO:0051607","defense response to virus","3/25","246/12100",0.0137224715634397,0.0137224715634397,0.0415898542319939,"HSP90AA1/IFITM1/IFNG",3
"GO:0071396","BP","GO:0071396","cellular response to lipid","4/25","464/12100",0.0142411676607924,0.0142411676607924,0.0425200975354514,"HSPA1B/HSPA1A/MIF/DNAJA1",4
"GO:0008637","BP","GO:0008637","apoptotic mitochondrial changes","2/25","92/12100",0.0153131110942542,0.0153131110942542,0.043924450244045,"HSPA1A/HSPD1",2
"GO:0048872","BP","GO:0048872","homeostasis of number of cells","3/25","257/12100",0.0154235586017166,0.0154235586017166,0.0440838179925446,"HSPA1B/HSPA1A/MIF",3
"GO:0010631","BP","GO:0010631","epithelial cell migration","3/25","258/12100",0.0155838968858925,0.0155838968858925,0.0442273138327542,"HSPB1/NR4A1/IFNG",3
"GO:0008630","BP","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","2/25","97/12100",0.0169257794371447,0.0169257794371447,0.0467150287955921,"CRIP1/MIF",2
"GO:0007006","BP","GO:0007006","mitochondrial membrane organization","2/25","102/12100",0.0186080209683593,0.0186080209683593,0.049651757296234,"HSPA1A/HSP90AA1",2
"GO:0006605","BP","GO:0006605","protein targeting","3/25","282/12100",0.0197192519992521,0.0197192519992521,0.0515573493417142,"HSP90AA1/ZFAND2A/HSPD1",3
"GO:0002361","BP","GO:0002361","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","1/25","10/12100",0.0204776601808735,0.0204776601808735,0.0515573493417142,"IFNG",1
"GO:0002725","BP","GO:0002725","negative regulation of T cell cytokine production","1/25","10/12100",0.0204776601808735,0.0204776601808735,0.0515573493417142,"XCL1",1
"GO:0036363","BP","GO:0036363","transforming growth factor beta activation","1/25","10/12100",0.0204776601808735,0.0204776601808735,0.0515573493417142,"HSP90AB1",1
"GO:0051409","BP","GO:0051409","response to nitrosative stress","1/25","10/12100",0.0204776601808735,0.0204776601808735,0.0515573493417142,"DNAJA1",1
"GO:0061469","BP","GO:0061469","regulation of type B pancreatic cell proliferation","1/25","10/12100",0.0204776601808735,0.0204776601808735,0.0515573493417142,"NR4A1",1
"GO:0002836","BP","GO:0002836","positive regulation of response to tumor cell","1/25","11/12100",0.0225031406188785,0.0225031406188785,0.053001686347289,"HSPD1",1
"GO:0007008","BP","GO:0007008","outer mitochondrial membrane organization","1/25","11/12100",0.0225031406188785,0.0225031406188785,0.053001686347289,"HSP90AA1",1
"GO:0051133","BP","GO:0051133","regulation of NK T cell activation","1/25","11/12100",0.0225031406188785,0.0225031406188785,0.053001686347289,"HSPH1",1
"GO:1901029","BP","GO:1901029","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","1/25","11/12100",0.0225031406188785,0.0225031406188785,0.053001686347289,"HSPA1A",1
"GO:1905522","BP","GO:1905522","negative regulation of macrophage migration","1/25","11/12100",0.0225031406188785,0.0225031406188785,0.053001686347289,"MIF",1
"GO:0017015","BP","GO:0017015","regulation of transforming growth factor beta receptor signaling pathway","2/25","117/12100",0.0240574699141496,0.0240574699141496,0.0544119503882963,"HSPA1A/HSP90AB1",2
"GO:0032725","BP","GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production","1/25","12/12100",0.0245245999194431,0.0245245999194431,0.0544119503882963,"PAEP",1
"GO:0050921","BP","GO:0050921","positive regulation of chemotaxis","2/25","121/12100",0.0256091745982655,0.0256091745982655,0.0560441709980686,"HSPB1/XCL1",2
"GO:0071236","BP","GO:0071236","cellular response to antibiotic","1/25","13/12100",0.0265420457336398,0.0265420457336398,0.05654496969082,"CRIP1",1
"GO:0023061","BP","GO:0023061","signal release","3/25","325/12100",0.0285212155146186,0.0285212155146186,0.0580621867769318,"MIF/NR4A1/IFNG",3
"GO:2001028","BP","GO:2001028","positive regulation of endothelial cell chemotaxis","1/25","14/12100",0.0285554856986155,0.0285554856986155,0.0580621867769318,"HSPB1",1
"GO:1900034","BP","GO:1900034","regulation of cellular response to heat","1/25","16/12100",0.0325703785600022,0.0325703785600022,0.0612552651632186,"DNAJB1",1
"GO:0046597","BP","GO:0046597","negative regulation of viral entry into host cell","1/25","17/12100",0.0345718466612932,0.0345718466612932,0.0617036701814426,"IFITM1",1
"GO:0016075","BP","GO:0016075","rRNA catabolic process","1/25","18/12100",0.0365693393231705,0.0365693393231705,0.0627478410896295,"DEDD2",1
"GO:0051090","BP","GO:0051090","regulation of DNA-binding transcription factor activity","3/25","361/12100",0.0372687962855305,0.0372687962855305,0.0632827229684206,"HSPA1B/HSPA1A/XCL1",3
"GO:0043405","BP","GO:0043405","regulation of MAP kinase activity","2/25","155/12100",0.0403472351169259,0.0403472351169259,0.0655332055733077,"MIF/DNAJA1",2
"GO:0071243","BP","GO:0071243","cellular response to arsenic-containing substance","1/25","20/12100",0.0405524285864184,0.0405524285864184,0.0655332055733077,"ZFAND2A",1
"GO:1904813","CC","GO:1904813","ficolin-1-rich granule lumen","6/25","123/12545",1.19501550243837e-07,1.19501550243837e-07,6.79271969807071e-06,"HSPA1B/HSPA6/HSPA1A/HSP90AA1/MIF/HSP90AB1",6
"GO:0071682","CC","GO:0071682","endocytic vesicle lumen","3/25","16/12545",3.84882029798868e-06,3.84882029798868e-06,7.29250161724172e-05,"GNLY/HSP90AA1/HSPH1",3
"GO:0034774","CC","GO:0034774","secretory granule lumen","5/25","269/12545",0.000163226700430767,0.000163226700430767,0.00165681262147698,"HSPA6/HSP90AA1/MIF/HSP90AB1/CTSW",5
"GO:0016234","CC","GO:0016234","inclusion body","3/25","67/12545",0.000307886199258516,0.000307886199258516,0.00218761246841577,"HSPA1B/HSPA1A/HSP90AB1",3
"GO:0072562","CC","GO:0072562","blood microparticle","3/25","75/12545",0.0004294455157179,0.0004294455157179,0.002712287467692,"HSPA1B/HSPA6/HSPA1A",3
"GO:0000502","CC","GO:0000502","proteasome complex","2/25","57/12545",0.00569028782165126,0.00569028782165126,0.0215631959557311,"HSPB1/ZFAND2A",2
"GO:0030877","CC","GO:0030877","beta-catenin destruction complex","1/25","10/12545",0.0197575184779091,0.0197575184779091,0.0431945748100037,"CACYBP",1
"GO:0044194","CC","GO:0044194","cytolytic granule","1/25","13/12545",0.0256113278284907,0.0256113278284907,0.0502000618053902,"GNLY",1
"GO:0043025","CC","GO:0043025","neuronal cell body","3/25","328/12545",0.0266149168512455,0.0266149168512455,0.0504282635076231,"DNAJB1/HSP90AA1/HSP90AB1",3
"GO:0042827","CC","GO:0042827","platelet dense granule","1/25","15/12545",0.0294952073893426,0.0294952073893426,0.0523928025994902,"CTSW",1
"GO:0044183","MF","GO:0044183","protein folding chaperone","10/25","53/12386",2.60502684104428e-18,2.60502684104428e-18,1.12427474192437e-16,"HSPB1/HSPA1B/HSPA6/DNAJB1/HSPA1A/HSP90AA1/HSPE1/HSP90AB1/HSPH1/HSPD1",10
"GO:0140662","MF","GO:0140662","ATP-dependent protein folding chaperone","8/25","31/12386",6.05212445060453e-16,6.05212445060453e-16,1.30598474986729e-14,"HSPA1B/HSPA6/HSPA1A/HSP90AA1/HSPE1/HSP90AB1/HSPH1/HSPD1",8
"GO:0051082","MF","GO:0051082","unfolded protein binding","10/25","100/12386",2.19534514739494e-15,2.19534514739494e-15,3.15821582607693e-14,"HSPB1/HSPA1B/HSPA6/DNAJB1/HSPA1A/HSP90AA1/HSPE1/HSP90AB1/DNAJA1/HSPD1",10
"GO:0031625","MF","GO:0031625","ubiquitin protein ligase binding","8/25","272/12386",3.81858054534593e-08,3.81858054534593e-08,4.06943114815224e-07,"HSPA1B/HSPA6/HSPA1A/HSP90AA1/CACYBP/HSP90AB1/DNAJA1/HSPD1",8
"GO:0031072","MF","GO:0031072","heat shock protein binding","6/25","104/12386",4.71458486676174e-08,4.71458486676174e-08,4.06943114815224e-07,"HSPA1B/HSPA6/DNAJB1/HSPA1A/HSP90AB1/DNAJA1",6
"GO:0016887","MF","GO:0016887","ATP hydrolysis activity","6/25","283/12386",1.65737256884074e-05,1.65737256884074e-05,8.9410888582198e-05,"HSPA1B/HSPA6/HSPA1A/HSP90AA1/HSP90AB1/HSPD1",6
"GO:0097718","MF","GO:0097718","disordered domain specific binding","3/25","28/12386",2.30177288874068e-05,2.30177288874068e-05,9.93396720403873e-05,"HSPA1A/HSP90AA1/HSP90AB1",3
"GO:0051087","MF","GO:0051087","chaperone binding","4/25","87/12386",2.56644082834682e-05,2.56644082834682e-05,0.000100692893743751,"DNAJB1/HSPE1/DNAJA1/HSPD1",4
"GO:0001664","MF","GO:0001664","G protein-coupled receptor binding","5/25","187/12386",3.09079067874438e-05,3.09079067874438e-05,0.000111160015639052,"HSPA1B/HSPA1A/CCL3L3/DNAJA1/XCL1",5
"GO:0005125","MF","GO:0005125","cytokine activity","4/25","143/12386",0.000178456697035949,0.000178456697035949,0.000513454356384134,"MIF/CCL3L3/IFNG/XCL1",4
"GO:0140416","MF","GO:0140416","transcription regulator inhibitor activity","2/25","17/12386",0.000522152740548482,0.000522152740548482,0.00140843831332156,"DNAJB1/HSPA1A",2
"GO:0001671","MF","GO:0001671","ATPase activator activity","2/25","25/12386",0.00114046778897409,0.00114046778897409,0.00246100943936514,"DNAJB1/DNAJA1",2
"GO:0030159","MF","GO:0030159","signaling receptor complex adaptor activity","2/25","45/12386",0.0036717177155324,0.0036717177155324,0.00528212022234485,"DEDD2/DOK2",2
"GO:0003725","MF","GO:0003725","double-stranded RNA binding","2/25","72/12386",0.00916950687074078,0.00916950687074078,0.0113067603518909,"HSP90AB1/HSPD1",2
