"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030595","GO:0030595","leukocyte chemotaxis","13/107","194/12100",1.49930663336401e-08,2.376359569864e-06,1.8300555373122e-06,"CCL3/CCL4/CXCL8/LGMN/CXCL2/CCL2/CCL20/S100A9/CXCL3/C3AR1/S100A8/IL1B/ADAM17",13
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","8/107","52/12100",1.56460544878729e-08,2.376359569864e-06,1.8300555373122e-06,"IGKC/C1QA/C1QB/C1QC/SERPING1/C2/C3/TNF",8
"GO:0052547","GO:0052547","regulation of peptidase activity","16/107","319/12100",1.85395973946098e-08,2.65940224849347e-06,2.04802920926421e-06,"LGMN/IFI6/BST2/SERPING1/PLAUR/S100A9/GRN/S100A8/PSMB9/SERPINA1/C3/CSTB/TIMP1/BIRC3/CD44/TNF",16
"GO:0070486","GO:0070486","leukocyte aggregation","5/107","12/12100",3.71086595068097e-08,5.04287151824119e-06,3.88355998938302e-06,"NR4A3/S100A9/S100A8/IL1B/CD44",5
"GO:0052548","GO:0052548","regulation of endopeptidase activity","15/107","294/12100",4.29812474024904e-08,5.54887903966151e-06,4.27324086017392e-06,"LGMN/IFI6/BST2/SERPING1/PLAUR/S100A9/S100A8/PSMB9/SERPINA1/C3/CSTB/TIMP1/BIRC3/CD44/TNF",15
"GO:0006958","GO:0006958","complement activation, classical pathway","7/107","40/12100",5.0869152941844e-08,6.25448347123053e-06,4.81663307805229e-06,"IGKC/C1QA/C1QB/C1QC/SERPING1/C2/C3",7
"GO:0032496","GO:0032496","response to lipopolysaccharide","14/107","263/12100",7.45036877423192e-08,8.74402371593946e-06,6.73385005479622e-06,"CCL3/CXCL8/CXCL2/CCL2/SOD2/CD14/S100A9/CXCL3/S100A8/LY96/NFKB1/IL1B/ADAM17/TNF",14
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","16/107","358/12100",9.23667409489546e-08,9.72309693620034e-06,7.48784300724955e-06,"HLA-DQA2/NR4A3/CCL2/VSIG4/HLA-DRB5/S100A9/CD83/S100A8/LILRB4/HLA-DPB1/IL1B/OLR1/ABL2/CD4/CD44/TNF",16
"GO:0050778","GO:0050778","positive regulation of immune response","18/107","458/12100",9.40746481079441e-08,9.72309693620034e-06,7.48784300724955e-06,"IGKC/HLA-B/C1QA/C1QB/C1QC/SERPING1/CFD/NR4A3/VSIG4/C2/FCGR1A/C3AR1/LILRB4/HLA-DPB1/C3/IL1B/CD4/TNF",18
"GO:0010951","GO:0010951","negative regulation of endopeptidase activity","11/107","152/12100",9.41430764543022e-08,9.72309693620034e-06,7.48784300724955e-06,"IFI6/BST2/SERPING1/PLAUR/SERPINA1/C3/CSTB/TIMP1/BIRC3/CD44/TNF",11
"GO:0002237","GO:0002237","response to molecule of bacterial origin","14/107","275/12100",1.29503650966257e-07,1.28607087228799e-05,9.90414561438301e-06,"CCL3/CXCL8/CXCL2/CCL2/SOD2/CD14/S100A9/CXCL3/S100A8/LY96/NFKB1/IL1B/ADAM17/TNF",14
"GO:0097529","GO:0097529","myeloid leukocyte migration","12/107","194/12100",1.3457511416315e-07,1.28693683247872e-05,9.91081445045578e-06,"CCL3/CCL4/CXCL8/LGMN/CXCL2/CCL2/CCL20/S100A9/CXCL3/C3AR1/S100A8/IL1B",12
"GO:0010466","GO:0010466","negative regulation of peptidase activity","11/107","158/12100",1.39924815602046e-07,1.29030669244458e-05,9.9367660403107e-06,"IFI6/BST2/SERPING1/PLAUR/SERPINA1/C3/CSTB/TIMP1/BIRC3/CD44/TNF",11
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","16/107","373/12100",1.62035446540484e-07,1.44267421712941e-05,1.11101618335744e-05,"CCL3/CCL4/CXCL8/LGMN/CD14/S100A9/FCGR1A/GRN/NEAT1/C3AR1/S100A8/LY96/C3/IL1B/ADAM17/TNF",16
"GO:0050900","GO:0050900","leukocyte migration","15/107","327/12100",1.73140813265738e-07,1.49016526617379e-05,1.14758946055782e-05,"CCL3/CCL4/CXCL8/LGMN/CXCL2/CCL2/CCL20/S100A9/CXCL3/C3AR1/S100A8/IL1B/ABL2/ADAM17/TNF",15
"GO:0002253","GO:0002253","activation of immune response","14/107","286/12100",2.0972527326403e-07,1.7468085663475e-05,1.3452327375068e-05,"IGKC/C1QA/C1QB/C1QC/SERPING1/CFD/NR4A3/VSIG4/C2/C3AR1/LILRB4/HLA-DPB1/C3/IL1B",14
"GO:0014002","GO:0014002","astrocyte development","6/107","31/12100",2.55444003427913e-07,2.06111380265897e-05,1.58728198182673e-05,"C1QA/S100A9/GRN/S100A8/IL1B/TNF",6
"GO:0060326","GO:0060326","cell chemotaxis","13/107","251/12100",3.09529322775644e-07,2.42183245880822e-05,1.86507461155723e-05,"CCL3/CCL4/CXCL8/LGMN/CXCL2/CCL2/CCL20/S100A9/CXCL3/C3AR1/S100A8/IL1B/ADAM17",13
"GO:0071675","GO:0071675","regulation of mononuclear cell migration","9/107","107/12100",4.10681018097737e-07,3.11875996684811e-05,2.40178465382856e-05,"CCL3/CCL4/LGMN/CCL2/CCL20/C3AR1/ABL2/ADAM17/TNF",9
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","7/107","56/12100",5.63498013257354e-07,4.15700534351568e-05,3.20134660764854e-05,"HLA-DQA2/HLA-B/LGMN/CTSL/HLA-DRB5/FCGR1A/HLA-DPB1",7
"GO:0050867","GO:0050867","positive regulation of cell activation","15/107","362/12100",6.3706580207375e-07,4.56447585434225e-05,3.51514325445493e-05,"HLA-DQA2/IGKC/CCL3/FCGR3A/NR4A3/CCL2/HLA-DRB5/CD83/PLEK/LILRB4/HLA-DPB1/IL1B/ABL2/CD4/TNF",15
"GO:0002526","GO:0002526","acute inflammatory response","8/107","83/12100",6.54088329243467e-07,4.56447585434225e-05,3.51514325445493e-05,"FCGR3A/CD163/FCGR1A/S100A8/SERPINA1/C3/IL1B/TNF",8
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","6/107","37/12100",7.72604093477891e-07,5.24964149831556e-05,4.0427953811073e-05,"HLA-DQA2/LGMN/CTSL/HLA-DRB5/FCGR1A/HLA-DPB1",6
"GO:0045861","GO:0045861","negative regulation of proteolysis","12/107","230/12100",8.42570804891045e-07,5.57825081597097e-05,4.29586032507202e-05,"IFI6/BST2/SERPING1/PLAUR/SERPINA1/CTSZ/C3/CSTB/TIMP1/BIRC3/CD44/TNF",12
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","13/107","280/12100",1.07238512162662e-06,6.92224596009982e-05,5.33088288092811e-05,"HLA-DQA2/NR4A3/CCL2/PLAUR/HLA-DRB5/CD83/LILRB4/HLA-DPB1/IL1B/ABL2/CD4/CD44/TNF",13
"GO:0098883","GO:0098883","synapse pruning","4/107","10/12100",1.16520820048949e-06,7.33796969186308e-05,5.65103540622502e-05,"C1QA/C1QB/C1QC/C3",4
"GO:0009615","GO:0009615","response to virus","14/107","332/12100",1.26611802144713e-06,7.78361126518214e-05,5.99422792609934e-05,"CCL4/IFITM3/IFI6/IFI44L/BST2/IFI27/ISG15/MX2/OAS1/NFKB1/IFI44/IL1B/BIRC3/TNF",14
"GO:0071677","GO:0071677","positive regulation of mononuclear cell migration","7/107","66/12100",1.76003337569274e-06,0.000103369965293668,7.96061251741767e-05,"CCL3/CCL4/LGMN/CCL20/ABL2/ADAM17/TNF",7
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","12/107","247/12100",1.78653061676421e-06,0.000103369965293668,7.96061251741767e-05,"HLA-DQA2/NR4A3/CCL2/HLA-DRB5/CD83/LILRB4/HLA-DPB1/IL1B/ABL2/CD4/CD44/TNF",12
"GO:0034612","GO:0034612","response to tumor necrosis factor","11/107","204/12100",1.80156794663634e-06,0.000103369965293668,7.96061251741767e-05,"CCL3/CCL4/CXCL8/CCL2/CCL20/CD14/NFKB1/ZFP36L1/ADAM17/BIRC3/TNF",11
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","9/107","128/12100",1.87244062398257e-06,0.000105100906328761,8.09391381854252e-05,"CCL3/CCL4/CXCL8/LGMN/CCL20/C3AR1/ABL2/ADAM17/TNF",9
"GO:0050729","GO:0050729","positive regulation of inflammatory response","9/107","129/12100",1.99819987397341e-06,0.000109773448395731,8.45375041866916e-05,"CCL3/S100A9/FCGR1A/GRN/NEAT1/S100A8/C3/IL1B/TNF",9
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","7/107","69/12100",2.38586973276203e-06,0.000128339909374824,9.88357001137603e-05,"CCL3/CCL4/CXCL8/CXCL2/CCL2/CCL20/CXCL3",7
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","10/107","170/12100",2.4989680382117e-06,0.000130211308992638,0.000100276881522725,"CCL3/CXCL8/CXCL2/CCL2/CD14/CXCL3/LY96/NFKB1/IL1B/TNF",10
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","14/107","352/12100",2.52152031356774e-06,0.000130211308992638,0.000100276881522725,"HLA-DQA2/IGKC/CCL3/FCGR3A/NR4A3/CCL2/HLA-DRB5/CD83/LILRB4/HLA-DPB1/IL1B/ABL2/CD4/TNF",14
"GO:0001819","GO:0001819","positive regulation of cytokine production","15/107","408/12100",2.83510805695267e-06,0.000143112497055328,0.000110212200634969,"CCL3/FCGR3A/NR4A3/ISG15/CD14/CD83/C3AR1/LY96/OAS1/HLA-DPB1/C3/IL1B/CD4/ADAM17/TNF",15
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen","6/107","46/12100",2.91855633071188e-06,0.000143112497055328,0.000110212200634969,"HLA-DQA2/LGMN/CTSL/HLA-DRB5/FCGR1A/HLA-DPB1",6
"GO:0071396","GO:0071396","cellular response to lipid","16/107","464/12100",2.93763065218141e-06,0.000143112497055328,0.000110212200634969,"CCL3/SPP1/CXCL8/SGK1/CXCL2/NR4A3/CCL2/CD14/CXCL3/LY96/NFKB1/ZFP36L1/IL1B/ABL2/TNF/EIF4E",16
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","5/107","27/12100",3.40352177969704e-06,0.000162738763614403,0.000125326562219253,"HLA-DQA2/LGMN/CTSL/HLA-DRB5/HLA-DPB1",5
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","10/107","177/12100",3.59286423939593e-06,0.000168668644838551,0.000129893216233855,"CCL3/CXCL8/CXCL2/CCL2/CD14/CXCL3/LY96/NFKB1/IL1B/TNF",10
"GO:1990868","GO:1990868","response to chemokine","7/107","76/12100",4.59565338359576e-06,0.000208175035727092,0.000160317437518234,"CCL3/CCL4/CXCL8/CXCL2/CCL2/CCL20/CXCL3",7
"GO:1990869","GO:1990869","cellular response to chemokine","7/107","76/12100",4.59565338359576e-06,0.000208175035727092,0.000160317437518234,"CCL3/CCL4/CXCL8/CXCL2/CCL2/CCL20/CXCL3",7
"GO:0002495","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","5/107","29/12100",4.93671962561202e-06,0.000219769139195349,0.000169246159215628,"HLA-DQA2/LGMN/CTSL/HLA-DRB5/HLA-DPB1",5
"GO:0071356","GO:0071356","cellular response to tumor necrosis factor","10/107","185/12100",5.33221807134597e-06,0.000233352323054497,0.000179706689326896,"CCL3/CCL4/CXCL8/CCL2/CCL20/NFKB1/ZFP36L1/ADAM17/BIRC3/TNF",10
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","13/107","326/12100",5.76068175505902e-06,0.000247901338192707,0.0001909110146545,"HLA-DQA2/NR4A3/CCL2/VSIG4/HLA-DRB5/CD83/LILRB4/HLA-DPB1/IL1B/ABL2/CD4/CD44/TNF",13
"GO:0002920","GO:0002920","regulation of humoral immune response","5/107","30/12100",5.8825664360135e-06,0.000248996500619457,0.000191754408932347,"SERPING1/VSIG4/C3/IL1B/TNF",5
"GO:0002504","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","5/107","31/12100",6.96470536535686e-06,0.000290046278279861,0.000223367206029866,"HLA-DQA2/LGMN/CTSL/HLA-DRB5/HLA-DPB1",5
"GO:0030449","GO:0030449","regulation of complement activation","4/107","15/12100",7.31981179514718e-06,0.000299996096112222,0.000231029648805898,"SERPING1/VSIG4/C3/IL1B",4
"GO:0006935","GO:0006935","chemotaxis","15/107","444/12100",7.9190747294049e-06,0.000314570014635745,0.000242253152450945,"CCL3/CCL4/EGR2/CXCL8/LGMN/CXCL2/CCL2/CCL20/PLAUR/S100A9/CXCL3/C3AR1/S100A8/IL1B/ADAM17",15
"GO:0042330","GO:0042330","taxis","15/107","444/12100",7.9190747294049e-06,0.000314570014635745,0.000242253152450945,"CCL3/CCL4/EGR2/CXCL8/LGMN/CXCL2/CCL2/CCL20/PLAUR/S100A9/CXCL3/C3AR1/S100A8/IL1B/ADAM17",15
"GO:0019079","GO:0019079","viral genome replication","8/107","116/12100",8.2830033715152e-06,0.000316920475023285,0.000244063262798722,"CXCL8/IFITM3/BST2/CCL2/IFI27/ISG15/OAS1/TNF",8
"GO:1901214","GO:1901214","regulation of neuron death","11/107","239/12100",8.28577316186359e-06,0.000316920475023285,0.000244063262798722,"CCL3/LGMN/C1QA/MCL1/NR4A3/CCL2/SOD2/NR4A2/GRN/CTSZ/TNF",11
"GO:0031663","GO:0031663","lipopolysaccharide-mediated signaling pathway","6/107","55/12100",8.46921486313195e-06,0.000316920475023285,0.000244063262798722,"CCL3/CCL2/CD14/LY96/IL1B/TNF",6
"GO:0048708","GO:0048708","astrocyte differentiation","6/107","55/12100",8.46921486313195e-06,0.000316920475023285,0.000244063262798722,"C1QA/S100A9/GRN/S100A8/IL1B/TNF",6
"GO:0002685","GO:0002685","regulation of leukocyte migration","10/107","196/12100",8.88933678399412e-06,0.000327889536803897,0.000252510634360374,"CCL3/CCL4/CXCL8/LGMN/CCL2/CCL20/C3AR1/ABL2/ADAM17/TNF",10
"GO:0019722","GO:0019722","calcium-mediated signaling","9/107","155/12100",9.05527196255594e-06,0.000329305805736894,0.000253601315600714,"CCL3/CCL4/CXCL8/FCGR3A/CCL20/PLEK/CALM3/CD4/TNF",9
"GO:1903900","GO:1903900","regulation of viral life cycle","8/107","119/12100",1.00039148775352e-05,0.000358751502969387,0.000276277707655906,"CXCL8/IFITM3/BST2/LY6E/ISG15/OAS1/CD4/TNF",8
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","11/107","245/12100",1.04758690017803e-05,0.000370530051542422,0.000285348472160967,"IFI6/BST2/SERPING1/PLAUR/SERPINA1/C3/CSTB/TIMP1/BIRC3/CD44/TNF",11
"GO:0071216","GO:0071216","cellular response to biotic stimulus","10/107","202/12100",1.15819768169155e-05,0.000404117082990214,0.000311214142349266,"CCL3/CXCL8/CXCL2/CCL2/CD14/CXCL3/LY96/NFKB1/IL1B/TNF",10
"GO:0071347","GO:0071347","cellular response to interleukin-1","7/107","88/12100",1.22352529762768e-05,0.000421218975796622,0.000324384461364026,"CCL3/CCL4/CXCL8/CCL2/CCL20/NFKB1/IL1B",7
"GO:0048143","GO:0048143","astrocyte activation","4/107","17/12100",1.25898933709947e-05,0.000427725061630374,0.000329394855648325,"C1QA/GRN/IL1B/TNF",4
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","14/107","406/12100",1.29803604078336e-05,0.000435263513935406,0.000335200284489373,"HLA-DQA2/NR4A3/CCL2/VSIG4/PLAUR/HLA-DRB5/CD83/LILRB4/HLA-DPB1/IL1B/ABL2/CD4/CD44/TNF",14
"GO:0050766","GO:0050766","positive regulation of phagocytosis","6/107","61/12100",1.55400783345816e-05,0.000507904838732781,0.000391142011645898,"CCL2/C2/FCGR1A/C3/IL1B/TNF",6
"GO:2000401","GO:2000401","regulation of lymphocyte migration","6/107","61/12100",1.55400783345816e-05,0.000507904838732781,0.000391142011645898,"CCL3/CCL4/CCL2/CCL20/ABL2/ADAM17",6
"GO:0071674","GO:0071674","mononuclear cell migration","9/107","169/12100",1.81590282971134e-05,0.000586082638289335,0.000451347427016411,"CCL3/CCL4/LGMN/CCL2/CCL20/C3AR1/ABL2/ADAM17/TNF",9
"GO:0050848","GO:0050848","regulation of calcium-mediated signaling","6/107","63/12100",1.87461531622892e-05,0.000590628030925957,0.000454847874115998,"CCL3/CCL4/PLEK/CALM3/CD4/TNF",6
"GO:0016032","GO:0016032","viral process","13/107","364/12100",1.87573580696857e-05,0.000590628030925957,0.000454847874115998,"CCL3/CCL4/CXCL8/IFITM3/CTSL/BST2/LY6E/CCL2/IFI27/ISG15/OAS1/CD4/TNF",13
"GO:2000403","GO:2000403","positive regulation of lymphocyte migration","5/107","38/12100",1.95875387874317e-05,0.00060933765239938,0.000469256319206828,"CCL3/CCL4/CCL20/ABL2/ADAM17",5
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","12/107","313/12100",2.00074915923248e-05,0.00061499218204027,0.000473610922530095,"IFI6/MCL1/SOD2/PLAUR/NR4A2/S100A9/ATF3/LMNA/S100A8/IL1B/CD44/TNF",12
"GO:0019882","GO:0019882","antigen processing and presentation","7/107","95/12100",2.02458097386936e-05,0.000614996244062432,0.000473614050729314,"HLA-DQA2/HLA-B/LGMN/CTSL/HLA-DRB5/FCGR1A/HLA-DPB1",7
"GO:0019058","GO:0019058","viral life cycle","11/107","268/12100",2.42198535292788e-05,0.00072715885828602,0.000559991472665943,"CXCL8/IFITM3/CTSL/BST2/LY6E/CCL2/IFI27/ISG15/OAS1/CD4/TNF",11
"GO:0045824","GO:0045824","negative regulation of innate immune response","6/107","67/12100",2.67575177796929e-05,0.000794113918473186,0.000611554157118451,"HLA-B/SERPING1/VSIG4/ISG15/GRN/OAS1",6
"GO:0051235","GO:0051235","maintenance of location","11/107","272/12100",2.77681769743705e-05,0.000811297146287026,0.00062478711294231,"CCL3/FTH1/S100A9/S100A8/GAA/NFKB1/CALM3/C3/IL1B/CD4/TNF",11
"GO:0050792","GO:0050792","regulation of viral process","8/107","137/12100",2.79649287449827e-05,0.000811297146287026,0.00062478711294231,"CXCL8/IFITM3/BST2/LY6E/ISG15/OAS1/CD4/TNF",8
"GO:0070997","GO:0070997","neuron death","11/107","273/12100",2.87225116090692e-05,0.000824016944162409,0.000634582741865869,"CCL3/LGMN/C1QA/MCL1/NR4A3/CCL2/SOD2/NR4A2/GRN/CTSZ/TNF",11
"GO:0002761","GO:0002761","regulation of myeloid leukocyte differentiation","7/107","101/12100",3.01753686334285e-05,0.000856184635291344,0.000659355365512393,"CCL3/C1QC/KLF10/LILRB4/ZFP36L1/CD4/TNF",7
"GO:0150146","GO:0150146","cell junction disassembly","4/107","21/12100",3.08086665969315e-05,0.000864651925579098,0.000665876100704846,"C1QA/C1QB/C1QC/C3",4
"GO:0006775","GO:0006775","fat-soluble vitamin metabolic process","4/107","22/12100",3.73994887029313e-05,0.00103833849280612,0.000799633663382426,"PLTP/LGMN/NFKB1/TNF",4
"GO:0061900","GO:0061900","glial cell activation","5/107","44/12100",4.06323798909091e-05,0.00111609366891838,0.000859513612697955,"CCL3/C1QA/GRN/IL1B/TNF",5
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","7/107","106/12100",4.12381828785476e-05,0.00112081040202537,0.000863146010610265,"CCL3/CCL4/CXCL8/LGMN/CCL2/C3AR1/ADAM17",7
"GO:0002698","GO:0002698","negative regulation of immune effector process","7/107","107/12100",4.38072159812929e-05,0.00117823157983019,0.00090736656785814,"HLA-B/BST2/SERPING1/VSIG4/GRN/LILRB4/TNF",7
"GO:1901623","GO:1901623","regulation of lymphocyte chemotaxis","4/107","23/12100",4.49658864327127e-05,0.00119692699762128,0.000921764074567491,"CCL3/CCL4/CCL2/ADAM17",4
"GO:2000116","GO:2000116","regulation of cysteine-type endopeptidase activity","9/107","190/12100",4.57909057346808e-05,0.0012064501898668,0.000929097969203138,"LGMN/IFI6/PLAUR/S100A9/S100A8/PSMB9/BIRC3/CD44/TNF",9
"GO:0070555","GO:0070555","response to interleukin-1","7/107","108/12100",4.65061712662087e-05,0.00121291852736718,0.00093407929316181,"CCL3/CCL4/CXCL8/CCL2/CCL20/NFKB1/IL1B",7
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","10/107","239/12100",4.91932515730974e-05,0.00127016975561737,0.000978168970753483,"CCL3/CCL4/CCL2/CCL20/ATF3/ZFP36L1/IL1B/CD4/CD44/TNF",10
"GO:0048525","GO:0048525","negative regulation of viral process","6/107","75/12100",5.09900838682098e-05,0.00130352867869028,0.00100385897266335,"IFITM3/BST2/LY6E/ISG15/OAS1/TNF",6
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","9/107","193/12100",5.17377896065925e-05,0.0013096762035708,0.00100859323598404,"IFI6/MCL1/SOD2/PLAUR/NR4A2/LMNA/IL1B/CD44/TNF",9
"GO:0043523","GO:0043523","regulation of neuron apoptotic process","8/107","151/12100",5.60976872925869e-05,0.0014062546464996,0.00108296914967498,"CCL3/LGMN/MCL1/CCL2/SOD2/NR4A2/GRN/TNF",8
"GO:0048247","GO:0048247","lymphocyte chemotaxis","5/107","48/12100",6.22927663065758e-05,0.00152770578463806,0.00117649974608883,"CCL3/CCL4/CCL2/CCL20/ADAM17",5
"GO:0051607","GO:0051607","defense response to virus","10/107","246/12100",6.27175883701141e-05,0.00152770578463806,0.00117649974608883,"IFITM3/IFI6/IFI44L/BST2/IFI27/ISG15/MX2/OAS1/IL1B/BIRC3",10
"GO:0140546","GO:0140546","defense response to symbiont","10/107","246/12100",6.27175883701141e-05,0.00152770578463806,0.00117649974608883,"IFITM3/IFI6/IFI44L/BST2/IFI27/ISG15/MX2/OAS1/IL1B/BIRC3",10
"GO:0002675","GO:0002675","positive regulation of acute inflammatory response","4/107","25/12100",6.33685342396404e-05,0.0015291360318388,0.00117760119211688,"FCGR1A/C3/IL1B/TNF",4
"GO:0031960","GO:0031960","response to corticosteroid","7/107","114/12100",6.57179225774887e-05,0.00156500886208136,0.00120522717618806,"SGK1/FOSB/ZFP36L1/CALM3/ENG/TNF/EIF4E",7
"GO:0045785","GO:0045785","positive regulation of cell adhesion","13/107","411/12100",6.60673764395305e-05,0.00156500886208136,0.00120522717618806,"HLA-DQA2/NR4A3/CCL2/PLAUR/HLA-DRB5/CD83/LILRB4/HLA-DPB1/IL1B/ABL2/CD4/CD44/TNF",13
"GO:0045069","GO:0045069","regulation of viral genome replication","6/107","79/12100",6.84064262727567e-05,0.00160239574059742,0.00123401914223512,"CXCL8/IFITM3/BST2/ISG15/OAS1/TNF",6
"GO:0045071","GO:0045071","negative regulation of viral genome replication","5/107","49/12100",6.88868811798269e-05,0.00160239574059742,0.00123401914223512,"IFITM3/BST2/ISG15/OAS1/TNF",5
"GO:0002274","GO:0002274","myeloid leukocyte activation","9/107","202/12100",7.36385887530105e-05,0.00169763246571672,0.00130736178716576,"CCL3/CXCL8/FCGR3A/C1QA/NR4A3/VSIG4/GRN/LILRB4/TNF",9
