"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036003","GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress","4/96","18/12100",1.04553353039357e-05,0.000802897645581546,0.000709292983051029,"HSPA5/HIF1A/KLF2/DDIT3",4
"GO:0042254","GO:0042254","ribosome biogenesis","11/96","286/12100",1.57460454461419e-05,0.00116888144028527,0.00103260908557331,"RPS27/RPS6/RPL10/RPS5/RPS8/RPL11/RPS21/RPL10A/RPL7/RPL5/EIF4A3",11
"GO:0016072","GO:0016072","rRNA metabolic process","10/96","242/12100",2.12553189312056e-05,0.00152695468579983,0.00134893687885987,"RPS27/RPS6/RPS8/RPL11/RPS21/RPL10A/RPL7/RPL5/DEDD2/EIF4A3",10
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","13/96","422/12100",2.72291896375437e-05,0.0018949814163378,0.0016740577444924,"RPS27/HSP90AA1/RPS6/RPL10/RPS5/RPS8/RPL11/RPS21/RPL10A/PTGES3/RPL7/RPL5/EIF4A3",13
"GO:0006364","GO:0006364","rRNA processing","9/96","212/12100",4.55295160048846e-05,0.00307255248917812,0.00271434339435819,"RPS27/RPS6/RPS8/RPL11/RPS21/RPL10A/RPL7/RPL5/EIF4A3",9
"GO:0042255","GO:0042255","ribosome assembly","5/96","53/12100",6.01034166400003e-05,0.00393677378992002,0.00347781070279135,"RPS27/RPL10/RPS5/RPL11/RPL5",5
"GO:0071353","GO:0071353","cellular response to interleukin-4","4/96","31/12100",9.93385988585751e-05,0.00625376822407413,0.00552468168685489,"RPL3/HSPA5/XBP1/MRC1",4
"GO:1904667","GO:1904667","negative regulation of ubiquitin protein ligase activity","3/96","12/12100",0.000101093693788356,0.00625376822407413,0.00552468168685489,"RPL37/RPL11/RPL5",3
"GO:0050821","GO:0050821","protein stabilization","8/96","184/12100",0.000104072577479527,0.00626404405532181,0.00553375952515608,"HSPA1B/HSP90AA1/BAG3/IFI30/RPL11/HSPD1/PTGES3/RPL5",8
"GO:0070670","GO:0070670","response to interleukin-4","4/96","32/12100",0.000112842613364347,0.00661317105164215,0.00584218405479128,"RPL3/HSPA5/XBP1/MRC1",4
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","8/96","193/12100",0.000144921079294402,0.00827536522022137,0.00731059371663259,"HSPB1/HSPA1B/MIF/HIF1A/XBP1/HMGB2/SLC25A6/HERPUD1",8
"GO:0061684","GO:0061684","chaperone-mediated autophagy","3/96","15/12100",0.000205495913628789,0.0114409849912828,0.010107154278216,"HSP90AA1/BAG3/EEF1A1",3
"GO:1903573","GO:1903573","negative regulation of response to endoplasmic reticulum stress","4/96","38/12100",0.000223351103738613,0.0120864934060531,0.0106774070266411,"PPP1R15A/HSPA5/XBP1/HERPUD1",4
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","5/96","70/12100",0.000227944644388967,0.0120864934060531,0.0106774070266411,"PPP1R15A/HSPA5/XBP1/DDIT3/HERPUD1",5
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","5/96","71/12100",0.000243687616009401,0.0124447441928942,0.010993891662855,"RPL10/RPL11/RPL10A/RPL7/RPL5",5
"GO:0140467","GO:0140467","integrated stress response signaling","4/96","39/12100",0.000247372561753572,0.0124447441928942,0.010993891662855,"PPP1R15A/HSPA5/JUN/DDIT3",4
"GO:1900034","GO:1900034","regulation of cellular response to heat","3/96","16/12100",0.000251465419254709,0.0124447441928942,0.010993891662855,"DNAJB1/IER5/DNAJB6",3
"GO:0071396","GO:0071396","cellular response to lipid","12/96","464/12100",0.000293871017062404,0.0140210703878961,0.012386444144815,"HSPA1B/ID3/DDIT4/FKBP4/PTGES3/HES1/MIF/XBP1/HMGB2/MRC1/IRF8/YWHAH",12
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","5/96","74/12100",0.000295909433422144,0.0140210703878961,0.012386444144815,"RPS27/RPS6/RPS5/RPS8/RPS21",5
"GO:1905897","GO:1905897","regulation of response to endoplasmic reticulum stress","5/96","75/12100",0.00031507438995106,0.0146181388837711,0.0129139042723362,"PPP1R15A/HSPA5/XBP1/DDIT3/HERPUD1",5
"GO:0031397","GO:0031397","negative regulation of protein ubiquitination","5/96","76/12100",0.000335165859414569,0.0152329463044132,0.0134570352576977,"HSPA1B/RPL37/RPL11/RPS3/RPL5",5
"GO:0036499","GO:0036499","PERK-mediated unfolded protein response","3/96","18/12100",0.000362226135657336,0.0158172079237037,0.0139731815798465,"PPP1R15A/HSPA5/DDIT3",3
"GO:2000434","GO:2000434","regulation of protein neddylation","3/96","18/12100",0.000362226135657336,0.0158172079237037,0.0139731815798465,"RPL11/RPL5/HIF1A",3
"GO:0051131","GO:0051131","chaperone-mediated protein complex assembly","3/96","19/12100",0.000427675463046794,0.0181567783002508,0.0160399965226615,"HSP90AA1/HSPD1/PTGES3",3
"GO:0006984","GO:0006984","ER-nucleus signaling pathway","4/96","45/12100",0.000432110125690747,0.0181567783002508,0.0160399965226615,"PPP1R15A/HSPA5/XBP1/DDIT3",4
"GO:0042149","GO:0042149","cellular response to glucose starvation","4/96","47/12100",0.000511062679219348,0.0210766034559535,0.018619418079161,"HSPA5/HNRNPA1/XBP1/UPP1",4
"GO:0031400","GO:0031400","negative regulation of protein modification process","11/96","425/12100",0.000529801005305567,0.0211894953747329,0.0187191486566189,"HSPB1/HSPA1B/RPL37/DDIT4/RPL11/RPS3/PPP1R15A/RPL5/JUN/RGS2/GADD45B",11
"GO:1903321","GO:1903321","negative regulation of protein modification by small protein conjugation or removal","5/96","84/12100",0.000532829699589152,0.0211894953747329,0.0187191486566189,"HSPA1B/RPL37/RPL11/RPS3/RPL5",5
"GO:0032069","GO:0032069","regulation of nuclease activity","3/96","21/12100",0.000580291967141038,0.0222812105314326,0.0196835877783412,"GZMA/RPS3/HMGB2",3
"GO:1901522","GO:1901522","positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus","3/96","21/12100",0.000580291967141038,0.0222812105314326,0.0196835877783412,"HIF1A/XBP1/JUN",3
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","7/96","184/12100",0.000639932801415136,0.0241547516737544,0.0213387048322014,"RPS27/HSP90AA1/RPL10/RPS5/RPL11/PTGES3/RPL5",7
"GO:0000027","GO:0000027","ribosomal large subunit assembly","3/96","22/12100",0.00066806553755368,0.0243898680677385,0.0215464105209289,"RPL10/RPL11/RPL5",3
"GO:0051444","GO:0051444","negative regulation of ubiquitin-protein transferase activity","3/96","22/12100",0.00066806553755368,0.0243898680677385,0.0215464105209289,"RPL37/RPL11/RPL5",3
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","5/96","89/12100",0.000694430068796742,0.0249434800517797,0.0220354804512922,"HSPB1/MIF/HIF1A/XBP1/HERPUD1",5
"GO:2001244","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","4/96","52/12100",0.000752587256375076,0.0263266308943156,0.0232573786502852,"RPL11/RPS3/UBB/DDIT3",4
"GO:0032479","GO:0032479","regulation of type I interferon production","5/96","91/12100",0.000768401889596099,0.0263266308943156,0.0232573786502852,"HSP90AA1/HSPD1/HMGB2/ZC3HAV1/IRF8",5
"GO:0032606","GO:0032606","type I interferon production","5/96","91/12100",0.000768401889596099,0.0263266308943156,0.0232573786502852,"HSP90AA1/HSPD1/HMGB2/ZC3HAV1/IRF8",5
"GO:0051438","GO:0051438","regulation of ubiquitin-protein transferase activity","4/96","53/12100",0.000809116549414673,0.0273015538719163,0.024118641640447,"RPL37/RPL11/RPL5/ARRDC3",4
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","7/96","192/12100",0.000822931783681828,0.0273532698844691,0.0241643284163604,"RPS27/HSP90AA1/RPL10/RPS5/RPL11/PTGES3/RPL5",7
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","5/96","93/12100",0.000848109910274376,0.0276332522090882,0.0244116694059914,"RPL37/RPL11/MIF/RPL5/UBB",5
"GO:1904666","GO:1904666","regulation of ubiquitin protein ligase activity","3/96","24/12100",0.000867997002450103,0.0276332522090882,0.0244116694059914,"RPL37/RPL11/RPL5",3
"GO:0070059","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","4/96","54/12100",0.000868579997591455,0.0276332522090882,0.0244116694059914,"PPP1R15A/XBP1/DDIT3/HERPUD1",4
"GO:0032481","GO:0032481","positive regulation of type I interferon production","4/96","55/12100",0.000931060435672414,0.0292038252146826,0.0257991394258227,"HSP90AA1/HSPD1/HMGB2/ZC3HAV1",4
"GO:0045116","GO:0045116","protein neddylation","3/96","25/12100",0.000980712012526806,0.0303339673874611,0.0267975256054474,"RPL11/RPL5/HIF1A",3
"GO:0071216","GO:0071216","cellular response to biotic stimulus","7/96","202/12100",0.0011073860205126,0.0337828584613912,0.0298443326941319,"MIF/HSPA5/XBP1/HMGB2/MRC1/IRF8/DDIT3",7
"GO:0051101","GO:0051101","regulation of DNA binding","5/96","100/12100",0.00117626581031292,0.0352029897525345,0.0310989000295356,"GZMA/HES1/HMGB2/JUN/DDIT3",5
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","6/96","150/12100",0.00121722740081645,0.0352029897525345,0.0310989000295356,"RPL37/DDIT4/RPL11/MIF/RPL5/UBB",6
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","3/96","27/12100",0.00123297404611481,0.0352029897525345,0.0310989000295356,"HLA-DRB1/IFI30/CTSD",3
"GO:1901798","GO:1901798","positive regulation of signal transduction by p53 class mediator","3/96","27/12100",0.00123297404611481,0.0352029897525345,0.0310989000295356,"RPL37/RPL11/UBB",3
"GO:1902235","GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","3/96","27/12100",0.00123297404611481,0.0352029897525345,0.0310989000295356,"XBP1/DDIT3/HERPUD1",3
"GO:1900101","GO:1900101","regulation of endoplasmic reticulum unfolded protein response","3/96","28/12100",0.00137303125860834,0.0382217576615097,0.0337657292413025,"PPP1R15A/HSPA5/XBP1",3
"GO:1902253","GO:1902253","regulation of intrinsic apoptotic signaling pathway by p53 class mediator","3/96","28/12100",0.00137303125860834,0.0382217576615097,0.0337657292413025,"RPL11/MIF/UBB",3
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","4/96","62/12100",0.00145986017680783,0.0401371433796424,0.0354578124815313,"ZFAND2A/PPP1R15A/HSPA5/HERPUD1",4
"GO:0002495","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","3/96","29/12100",0.00152270013559284,0.0413543073410398,0.0365330751402185,"HLA-DRB1/IFI30/CTSD",3
"GO:0043280","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","5/96","107/12100",0.00159024139188823,0.0426682840931937,0.0376938638102612,"RPS3/HSPD1/HSPE1/CTSD/CYCS",5
"GO:0045648","GO:0045648","positive regulation of erythrocyte differentiation","3/96","30/12100",0.00168221706918971,0.0445987787272081,0.0393992945152326,"HSPA1B/HIF1A/HMGB2",3
"GO:0031647","GO:0031647","regulation of protein stability","8/96","282/12100",0.00177562816183303,0.0465214578400253,0.0410978208602592,"HSPA1B/HSP90AA1/BAG3/IFI30/RPL11/HSPD1/PTGES3/RPL5",8
"GO:0002504","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","3/96","31/12100",0.0018518111910109,0.0478717912229378,0.0422907275757667,"HLA-DRB1/IFI30/CTSD",3
"GO:0006413","GO:0006413","translational initiation","5/96","111/12100",0.0018701597828449,0.0478717912229378,0.0422907275757667,"HSPB1/RPS3A/RPS5/RPS3/PPP1R15A",5
"GO:0030218","GO:0030218","erythrocyte differentiation","5/96","112/12100",0.00194543978764408,0.0492328909895836,0.0434931454917079,"HSPA1B/RPS6/HIF1A/HMGB2/KLF2",5
"GO:0006417","GO:0006417","regulation of translation","9/96","356/12100",0.00203662054154883,0.0509612802924633,0.0450200330237109,"HSPB1/RPL10/RPS4X/RPS3/RPS9/PPP1R15A/RPL5/RGS2/EIF4A3",9
"GO:0062197","GO:0062197","cellular response to chemical stress","8/96","289/12100",0.00207017507972824,0.0512253322506088,0.0452533008656384,"HSPB1/HSPA1B/RHOB/RPS3/HIF1A/JUN/KLF2/DDIT3",8
"GO:2001235","GO:2001235","positive regulation of apoptotic signaling pathway","5/96","114/12100",0.00210262427033625,0.051456530220207,0.0454575449538283,"RPL11/RPS3/UBB/DEDD2/DDIT3",5
"GO:0043281","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","6/96","171/12100",0.00236920710569237,0.0568058847377288,0.0501832527000284,"RPS3/HSPD1/HSPE1/DNAJB6/CTSD/CYCS",6
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","4/96","71/12100",0.00240846880671944,0.0568058847377288,0.0501832527000284,"DDIT4/RPL11/MIF/UBB",4
"GO:0045047","GO:0045047","protein targeting to ER","3/96","34/12100",0.00242324160309126,0.0568058847377288,0.0501832527000284,"ZFAND2A/HSPA5/HERPUD1",3
"GO:1905898","GO:1905898","positive regulation of response to endoplasmic reticulum stress","3/96","34/12100",0.00242324160309126,0.0568058847377288,0.0501832527000284,"XBP1/DDIT3/HERPUD1",3
"GO:2001056","GO:2001056","positive regulation of cysteine-type endopeptidase activity","5/96","119/12100",0.00253600028714062,0.0581499364472768,0.0513706100819891,"RPS3/HSPD1/HSPE1/CTSD/CYCS",5
"GO:0034101","GO:0034101","erythrocyte homeostasis","5/96","120/12100",0.00262990872078832,0.0581499364472768,0.0513706100819891,"HSPA1B/RPS6/HIF1A/HMGB2/KLF2",5
"GO:1990089","GO:1990089","response to nerve growth factor","3/96","35/12100",0.00263529475053184,0.0581499364472768,0.0513706100819891,"HES1/HSPA5/EIF4A3",3
"GO:1990090","GO:1990090","cellular response to nerve growth factor stimulus","3/96","35/12100",0.00263529475053184,0.0581499364472768,0.0513706100819891,"HES1/HSPA5/EIF4A3",3
"GO:0032070","GO:0032070","regulation of deoxyribonuclease activity","2/96","10/12100",0.0026894671998516,0.0581499364472768,0.0513706100819891,"GZMA/RPS3",2
"GO:0042921","GO:0042921","glucocorticoid receptor signaling pathway","2/96","10/12100",0.0026894671998516,0.0581499364472768,0.0513706100819891,"PTGES3/YWHAH",2
"GO:0097201","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","2/96","10/12100",0.0026894671998516,0.0581499364472768,0.0513706100819891,"BAG3/JUN",2
"GO:1990440","GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress","2/96","10/12100",0.0026894671998516,0.0581499364472768,0.0513706100819891,"HSPA5/DDIT3",2
"GO:0034599","GO:0034599","cellular response to oxidative stress","7/96","238/12100",0.00281735269049087,0.0603292734781073,0.0532958722523019,"HSPB1/HSPA1B/RHOB/RPS3/HIF1A/JUN/KLF2",7
"GO:0045727","GO:0045727","positive regulation of translation","5/96","124/12100",0.00303092860956581,0.064284552509553,0.0567900307897595,"RPS4X/RPS9/PPP1R15A/RPL5/EIF4A3",5
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","3/96","37/12100",0.00309294333072655,0.0643736896965237,0.0568687760465119,"HLA-DRB1/IFI30/CTSD",3
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","3/96","37/12100",0.00309294333072655,0.0643736896965237,0.0568687760465119,"ZFAND2A/HSPA5/HERPUD1",3
"GO:0002836","GO:0002836","positive regulation of response to tumor cell","2/96","11/12100",0.00327018016977372,0.0650240289114829,0.0574432964032621,"HLA-DRB1/HSPD1",2
"GO:0002839","GO:0002839","positive regulation of immune response to tumor cell","2/96","11/12100",0.00327018016977372,0.0650240289114829,0.0574432964032621,"HLA-DRB1/HSPD1",2
"GO:0006983","GO:0006983","ER overload response","2/96","11/12100",0.00327018016977372,0.0650240289114829,0.0574432964032621,"HSPA5/DDIT3",2
"GO:0031958","GO:0031958","corticosteroid receptor signaling pathway","2/96","11/12100",0.00327018016977372,0.0650240289114829,0.0574432964032621,"PTGES3/YWHAH",2
"GO:1903897","GO:1903897","regulation of PERK-mediated unfolded protein response","2/96","11/12100",0.00327018016977372,0.0650240289114829,0.0574432964032621,"PPP1R15A/HSPA5",2
"GO:0045862","GO:0045862","positive regulation of proteolysis","8/96","315/12100",0.00351643936951697,0.0693018626187105,0.0612224050454328,"HSPA1B/ZFAND2A/RPS3/HSPD1/HSPE1/CTSD/HERPUD1/CYCS",8
"GO:0034470","GO:0034470","ncRNA processing","9/96","387/12100",0.00356142466702483,0.0695727432760025,0.0614617054724783,"RPS27/RPS6/RPS8/RPL11/RPS21/RPL10A/RPL7/RPL5/EIF4A3",9
"GO:0060612","GO:0060612","adipose tissue development","3/96","40/12100",0.00386599628713122,0.0743094218332475,0.0656461652004535,"UBB/XBP1/ARRDC3",3
"GO:0006089","GO:0006089","lactate metabolic process","2/96","12/12100",0.00390399746497079,0.0743094218332475,0.0656461652004535,"HIF1A/LDHB",2
"GO:1990403","GO:1990403","embryonic brain development","2/96","12/12100",0.00390399746497079,0.0743094218332475,0.0656461652004535,"RPL10/TRA2B",2
"GO:2000116","GO:2000116","regulation of cysteine-type endopeptidase activity","6/96","190/12100",0.00399002444028695,0.0753032578688054,0.0665241362970233,"RPS3/HSPD1/HSPE1/DNAJB6/CTSD/CYCS",6
"GO:1900102","GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response","2/96","13/12100",0.00459005768745383,0.0856247535088409,0.0756423152733314,"PPP1R15A/HSPA5",2
"GO:0071333","GO:0071333","cellular response to glucose stimulus","4/96","85/12100",0.00461381698296403,0.0856247535088409,0.0756423152733314,"HLA-DRB1/HIF1A/XBP1/TRA2B",4
"GO:0045646","GO:0045646","regulation of erythrocyte differentiation","3/96","43/12100",0.00474696640651962,0.0870869862552249,0.0769340757266161,"HSPA1B/HIF1A/HMGB2",3
"GO:0006090","GO:0006090","pyruvate metabolic process","4/96","86/12100",0.00480992335401557,0.0870869862552249,0.0769340757266161,"DDIT4/SDS/HIF1A/LDHB",4
"GO:0045471","GO:0045471","response to ethanol","4/96","86/12100",0.00480992335401557,0.0870869862552249,0.0769340757266161,"RPS4X/RPL10A/RPL15/RGS2",4
"GO:1903050","GO:1903050","regulation of proteolysis involved in protein catabolic process","6/96","199/12100",0.00499491726415059,0.0888226341091467,0.0784673755819702,"HSPA1B/ZFAND2A/RPL11/RPL5/UBB/HERPUD1",6
"GO:0071331","GO:0071331","cellular response to hexose stimulus","4/96","87/12100",0.00501156189759041,0.0888226341091467,0.0784673755819702,"HLA-DRB1/HIF1A/XBP1/TRA2B",4
"GO:0031113","GO:0031113","regulation of microtubule polymerization","3/96","44/12100",0.00506532309468416,0.0888226341091467,0.0784673755819702,"HSPA1B/FKBP4/RPS3",3
"GO:0043392","GO:0043392","negative regulation of DNA binding","3/96","44/12100",0.00506532309468416,0.0888226341091467,0.0784673755819702,"GZMA/JUN/DDIT3",3
"GO:0034248","GO:0034248","regulation of cellular amide metabolic process","9/96","409/12100",0.00510624289371749,0.0888406478461629,0.0784832892134703,"HSPB1/RPL10/RPS4X/RPS3/RPS9/PPP1R15A/RPL5/RGS2/EIF4A3",9
"GO:0071326","GO:0071326","cellular response to monosaccharide stimulus","4/96","88/12100",0.00521880244432167,0.0890548174732247,0.0786724901838475,"HLA-DRB1/HIF1A/XBP1/TRA2B",4
"GO:0071347","GO:0071347","cellular response to interleukin-1","4/96","88/12100",0.00521880244432167,0.0890548174732247,0.0786724901838475,"HES1/HIF1A/KLF2/CCL3L3",4
"GO:0010950","GO:0010950","positive regulation of endopeptidase activity","5/96","141/12100",0.00523851867489557,0.0890548174732247,0.0786724901838475,"RPS3/HSPD1/HSPE1/CTSD/CYCS",5
"GO:0030099","GO:0030099","myeloid cell differentiation","8/96","338/12100",0.00536232175810714,0.0904688678432167,0.0799216855335107,"HLA-DRB1/HSPA1B/RPS6/HIF1A/HMGB2/JUN/KLF2/IRF8",8
